feature	a0	a0.2	a0.4	a0.6	a0.8	a1
education2_NCIMD	-0.0472533972021545	-0.0194445639069797	-0.0218394200094251	-0.0312387436440361	-0.0391756743961736	-0.0312536345097913
age	0.122831926498877	0.0777209522094223	0.0661223592707279	0.0542415232069673	0.0491114757819797	0.0491168356608157
bmi	-0.11482364439634	-0.0578960225152952	-0.0635571018654038	-0.0628512949505374	-0.0690849152260604	-0.0626705985227737
smoke	-0.0505424508558236	-0.016414113309277	-0.0151327300610536	-0.030984281935495	-0.0188427387129839	NaN
diabetes	-0.0274297197026778	-0.0181160038349111	-0.0209385006218989	-0.00962068590436586	NaN	NaN
aspirin	-0.192527415435965	-0.134453325022864	-0.1907560534834	-0.208934812483573	-0.251184128126916	-0.236260324256828
IL8	0.0147468391150994	NaN	NaN	NaN	NaN	NaN
TNFRSF9	0.133389580496164	0.141216022181168	0.197972066268277	0.227722435324979	0.247506525317442	0.247731196910114
TIE2	-0.0317850308321566	-0.028398389625413	NaN	NaN	NaN	NaN
CD40L	0.0187538782987315	NaN	0.00158999738158586	NaN	NaN	NaN
CD244	-0.0619492494346882	NaN	-0.00826440989552127	NaN	-0.0188281122484892	NaN
EGF	0.0219314553202561	NaN	NaN	NaN	NaN	NaN
ANG1	-0.0289380868609279	NaN	NaN	NaN	NaN	NaN
IL7	0.0623564056849862	0.0205697006501758	0.0245555408864622	0.0181782565332099	0.0303984259732673	0.0180426649514968
PGF	0.085025493469011	0.0511041374124174	0.0401037512903184	0.0409934056432863	0.0492142661509284	0.0195518151918655
IL6	0.0321904154933448	0.0126478739835003	0.0255699701681007	0.0116293523751995	0.00433815774320468	0.00438776002702353
MCP1	-0.0175324874745387	NaN	NaN	NaN	NaN	NaN
CRTAM	0.00125523105340247	0.00668959637415009	0.012260633718584	NaN	NaN	NaN
MCP4	0.0269640524607733	0.00660391660298133	0.010151862193548	0.00476119561467705	NaN	NaN
TRAIL	0.00519885368076454	0.00921635275793081	NaN	NaN	NaN	NaN
CXCL9	0.0416675310880592	0.0182920092590833	0.0211565206648577	0.013753142983565	NaN	NaN
CAIX	-0.0311395816290225	NaN	NaN	NaN	NaN	NaN
ADA	0.116519502537333	0.0599952807282549	0.0716014204441775	0.0713336833884377	0.0779463309608794	0.0740803672858485
Gal9	0.00179025629605204	NaN	NaN	NaN	NaN	NaN
VEGFR2	-0.107475870262213	-0.0366190700879959	-0.0477206970015144	-0.0450745188590798	-0.0539474372136857	-0.0498311461873077
CD40	0.0215028286168315	0.00829014359700908	0.0183522856015086	NaN	NaN	NaN
IL18	-0.0500299489576172	NaN	NaN	NaN	NaN	NaN
GZMH	0.0266286062448093	0.01794387986813	0.0136285140672074	0.0160940613756413	0.0345982373380995	NaN
CXCL1	0.0806678157062469	0.0331504868405936	0.0424064669326203	0.0443448971217586	0.0413965415424801	0.0356420792023913
TNFSF14	-0.0348057727081296	NaN	NaN	NaN	NaN	NaN
TWEAK	-0.00369722870298258	-0.0257972204637775	-0.0343087711764292	-0.0119610885866396	-0.0406523768781084	-0.0248723735544359
PDGFsubunitB	-0.0760900795010111	-0.0278950799726625	-0.0396590828906148	-0.040193507209997	-0.0500547911997422	-0.0460914699883505
PDCD1	0.00112534734024571	NaN	NaN	NaN	NaN	NaN
FASLG	-0.0386553660297049	NaN	NaN	NaN	NaN	NaN
MCP2	-0.0405892272230061	-0.0184654238228706	-0.0230094359684089	-0.0564100621244775	-0.0232617738007331	-0.00896038975535338
CCL4	-0.0165220276468854	NaN	NaN	NaN	-0.0134493464225167	NaN
Gal1	-0.00515593439671481	NaN	NaN	NaN	NaN	NaN
PDL1	-0.0434139135003223	NaN	NaN	NaN	NaN	NaN
CD27	-0.0127292444724274	NaN	NaN	NaN	NaN	NaN
HGF	0.0294640063135365	0.0183613140233987	0.0108590398964951	0.0163686656826595	NaN	NaN
GZMA	0.0591518257642533	0.0264656166743828	0.032532581415593	0.0563577005742404	0.0503884781448552	0.0424208559144049
HO1	-0.0084448618961196	NaN	NaN	NaN	NaN	NaN
CX3CL1	0.0211516098267809	0.00297842605949512	NaN	NaN	NaN	NaN
CD70	-0.0714642408338061	-0.0191269568230029	-0.0283269880309762	-0.0295216757839611	-0.0462122026507911	-0.0484346264343224
TNFRSF12A	0.0269415983840673	0.0112059150775351	0.0204369880481593	NaN	0.00354359035220964	NaN
CCL23	0.035832899047499	0.017959546751521	0.023779346208115	0.0268864866868224	0.036218180504203	0.0117926342723799
CD5	-0.0654370540731014	NaN	NaN	NaN	NaN	NaN
CCL3	0.000571735176571132	0.0108889215623589	NaN	NaN	NaN	NaN
MMP7	0.117224597618784	0.0634525300962528	0.0613140903146169	0.0507027222425719	0.0569894487523687	0.0631814487144779
NCR1	-0.0693984015339181	NaN	NaN	NaN	NaN	NaN
DCN	0.0153427570231829	0.0118356215650449	0.0253807687944545	NaN	NaN	NaN
TNFRSF21	0.085528947630529	0.0194693568934906	0.0160026020729368	0.0195120688918381	0.0193117586201384	NaN
TNFRSF4	0.0525810938196346	0.0156918927072314	0.0156469797840183	0.014693475825361	NaN	NaN
CCL17	-0.0173650357459414	0.0113904882334623	NaN	0.0238405767731036	0.0397425252116129	NaN
ANGPT2	0.0451309250455733	0.018361418238875	0.0211687755934048	0.0270395023047433	0.0355184715704272	0.0180339315671024
LAMP3	-0.0177712904869514	NaN	NaN	NaN	NaN	NaN
CASP8	-0.0312463258861338	NaN	NaN	NaN	NaN	NaN
ICOSLG	0.0265186439903874	0.014402225879054	NaN	NaN	NaN	NaN
MMP12	0.0471001321481308	0.0186940245102193	0.0202499926251734	0.0186379484914173	0.0112404217021386	0.0146475158555262
CXCL13	0.00185572018559118	0.0210277624398648	0.0152399184983858	NaN	NaN	NaN
VEGFA	0.0152718691871973	0.00584989303983579	NaN	NaN	NaN	NaN
CCL20	0.0335386643486174	0.012778179464401	0.0257776418075838	0.0209184669031175	0.095591766577449	NaN
KLRD1	0.0802462964912874	0.034347487024866	0.0395493730657497	0.0388381136554278	0.0425887968169346	0.0363775289501559
GZMB	-0.0630069476841174	-0.0235994188604552	-0.0355915187435971	-0.0401478195752876	-0.0454941774931099	-0.0448630457430902
CD83	-0.0172725933817853	NaN	NaN	NaN	NaN	NaN
IL12	-0.0107942927315547	0.0230449908896152	0.00472146716668231	NaN	NaN	NaN
CSF1	0.0182947199529125	NaN	NaN	NaN	NaN	NaN
ARG1	0.0337556747694355	0.0109280944702587	0.00906364023557461	0.0679330266312836	NaN	NaN
IL4	0.0410621752642722	0.0131394348873046	0.00489234189659739	0.00227878849932399	NaN	NaN
IL5	-0.0664757880631958	-0.00790909644749159	-0.00502241003837114	-0.00602530449372633	NaN	NaN
CD28	-0.0291059691903736	NaN	NaN	NaN	NaN	NaN
FGF2	0.0916102829196674	0.034077242732173	0.041793445240749	0.040092877123173	0.0479727409385419	0.0346442013447724
NOS3	-0.0188061690506771	NaN	NaN	NaN	NaN	NaN
ADGRG1	0.0152418440377134	0.0075494309278976	NaN	NaN	NaN	NaN
