feature	a0	a0.2	a0.4	a0.6	a0.8	a1
education2_NCIMD	0.00122808750228983	0.0138434847580693	0.0164620492888716	0.0202405158727792	0.0164199694318281	0.030659952196268
age	0.00139818722511275	0.00907387257748113	0.0168124265909293	0.0294897324577904	0.0378730456701204	0.0404020539778192
bmi	0.0012122969392866	0.0105067992042449	0.0203500381139906	0.0284683754650072	0.0441579764300684	0.0452617450195952
smoke	0.00137334523140803	0.0149134967394076	0.0136237932189174	0.0187997450481191	0.0138973886121451	0
diabetes	0.00139833838683014	0.00428701751488615	0.0159902111471507	0	0	0
aspirin	0.00122297337254936	0.00277786474492833	0.00274072163835537	0.00566138646268721	0.0047187060915428	0.0106135065050115
IL8	0.00102477145732735	0	0	0	0	0
TNFRSF9	0.0011405342463798	0.00283056416918631	0.00659989104990288	0.0101402703521238	0.0133765748118921	0.0144439223542163
TIE2	0.00125515918194551	0	0	0	0	0
CD40L	0.0010699897240679	0	2.16840434497101e-19	0	0	0
CD244	0.00136551908591618	0	0	0	0	0
EGF	0.000942007497620085	0	0	0	0	0
ANG1	0.00117718656834706	0	0	0	0	0
IL7	0.00169240335453042	0.0168382609736239	0.0243984848051674	0.014487947202228	0.0244064126704293	0.00988946525809522
PGF	0.00144032857289434	0.00781787730212517	0.0207822052214815	0.0328670302568086	0.0532357217404034	0.0201937547466269
IL6	0.00153401029479027	0.0134456197022156	0.033554184846172	0	0	0
MCP1	0.00136619218095438	0	0	0	0	0
CRTAM	0.00147720011268733	0.00658934093803406	0	0	0	0
MCP4	0.0014311716703825	0.00391703313577384	0.00879409577687185	0	0	0
TRAIL	0.00117013872587086	0	0	0	0	0
CXCL9	0.00132101052735145	0.0147069186410549	0.0212552963373867	0.00390927139256281	0	0
CAIX	0.00150248692223725	0	0	0	0	0
ADA	0.00162388059698728	0.00837075306591188	0.015535886659849	0.0222508797949535	0.0255123042367989	0.0320614171520351
Gal9	0.00102067118902992	0	0	0	0	0
VEGFR2	0.00115707210447282	0.0139780203949713	0.0194099340938477	0.0255049113357151	0.0260669421830083	0.0345066914077243
CD40	0.000971307121125307	0.0100726576655083	0	0	0	0
IL18	0.00118160441403364	0	0	0	0	0
GZMH	0.00136032232064826	0.0179211018710371	0.012986215920608	0.0153127862769458	0.0209214476080887	0
CXCL1	0.00117714015210942	0.0138105168938696	0.0263488362586712	0.0349864008798543	0.0328256354810181	0.0438756785670353
TNFSF14	0.000983226516632784	0	0	0	0	0
