feature	a0	a0.2	a0.4	a0.6	a0.8	a1
education2_NCIMD	1	0.024	0.014	0.009	0.003	0.005
age	1	0.959	0.777	0.42	0.21	0.067
bmi	1	0.877	0.702	0.507	0.41	0.257
smoke	1	0.061	0.012	0.006	0.006	0
diabetes	1	0.002	0.002	0.001	0	0
aspirin	1	0.999	1	0.998	1	0.993
IL8	1	0	0	0	0	0
TNFRSF9	1	1	1	0.999	0.998	0.994
TIE2	1	0.001	0	0	0	0
CD40L	1	0	0.001	0	0	0
CD244	1	0	0.001	0	0.001	0
EGF	1	0	0	0	0	0
ANG1	1	0	0	0	0	0
IL7	1	0.136	0.063	0.037	0.02	0.011
PGF	1	0.937	0.502	0.158	0.041	0.007
IL6	1	0.032	0.004	0.001	0.001	0.001
MCP1	1	0	0	0	0	0
CRTAM	1	0.004	0.001	0	0	0
MCP4	1	0.004	0.003	0.001	0	0
TRAIL	1	0.001	0	0	0	0
CXCL9	1	0.208	0.015	0.002	0	0
CAIX	1	0	0	0	0	0
ADA	1	0.922	0.84	0.72	0.689	0.538
Gal9	1	0	0	0	0	0
VEGFR2	1	0.617	0.496	0.368	0.377	0.238
CD40	1	0.013	0.001	0	0	0
IL18	1	0	0	0	0	0
GZMH	1	0.052	0.01	0.008	0.006	0
CXCL1	1	0.58	0.357	0.192	0.141	0.072
TNFSF14	1	0	0	0	0	0
TWEAK	1	0.004	0.003	0.002	0.001	0.001
PDGFsubunitB	1	0.511	0.391	0.277	0.289	0.143
PDCD1	1	0	0	0	0	0
FASLG	1	0	0	0	0	0
MCP2	1	0.042	0.015	0.001	0.004	0.001
CCL4	1	0	0	0	0.001	0
Gal1	1	0	0	0	0	0
PDL1	1	0	0	0	0	0
CD27	1	0	0	0	0	0
HGF	1	0.021	0.001	0.001	0	0
GZMA	1	0.278	0.102	0.034	0.017	0.01
HO1	1	0	0	0	0	0
CX3CL1	1	0.001	0	0	0	0
CD70	1	0.052	0.034	0.026	0.032	0.012
TNFRSF12A	1	0.067	0.003	0	0.001	0
CCL23	1	0.169	0.036	0.008	0.008	0.002
CD5	1	0	0	0	0	0
CCL3	1	0.001	0	0	0	0
MMP7	1	0.977	0.789	0.521	0.323	0.121
NCR1	1	0	0	0	0	0
DCN	1	0.025	0.001	0	0	0
TNFRSF21	1	0.485	0.067	0.008	0.004	0
TNFRSF4	1	0.2	0.016	0.002	0	0
CCL17	1	0.006	0	0.002	0.001	0
ANGPT2	1	0.183	0.057	0.016	0.006	0.002
LAMP3	1	0	0	0	0	0
CASP8	1	0	0	0	0	0
ICOSLG	1	0.005	0	0	0	0
MMP12	1	0.208	0.037	0.006	0.003	0.001
CXCL13	1	0.009	0.002	0	0	0
VEGFA	1	0.005	0	0	0	0
CCL20	1	0.039	0.007	0.003	0.001	0
KLRD1	1	0.702	0.494	0.285	0.227	0.117
GZMB	1	0.096	0.059	0.032	0.036	0.013
CD83	1	0	0	0	0	0
IL12	1	0.028	0.003	0	0	0
CSF1	1	0	0	0	0	0
ARG1	1	0.007	0.002	0.001	0	0
IL4	1	0.001	0.002	0.001	0	0
IL5	1	0.014	0.003	0.001	0	0
CD28	1	0	0	0	0	0
FGF2	1	0.524	0.367	0.252	0.223	0.128
NOS3	1	0	0	0	0	0
ADGRG1	1	0.002	0	0	0	0
MICAB	1	0.001	0	0	0	0
CD4	1	0.932	0.686	0.448	0.3	0.152
IL10	1	0	0	0	0	0
CD8A	1	0.448	0.206	0.107	0.071	0.023
CCL19	1	0.002	0	0.001	0	0
CXCL10	1	0.569	0.349	0.209	0.139	0.067
PTN	1	1	1	1	1	1
IL12RB1	1	0	0	0	0	0
VEGFC	1	0.054	0.024	0.018	0.02	0.009
MCP3	1	0	0	0	0	0
CXCL5	1	0	0	0	0	0
CXCL11	1	0.288	0.113	0.043	0.028	0.01
PDL2	1	0.093	0.019	0.003	0.003	0
LAPTGFbeta1	1	0.34	0.174	0.098	0.072	0.037
