feature	a0	a0.2	a0.4	a0.6	a0.8	a1
education2_NCIMD	1	0.914008599140086	0.944805519448055	0.96020397960204	0.987001299870013	0.978602139786021
age	1	0.0200979902009799	0.0291970802919708	0.061993800619938	0.292470752924708	0.711028897110289
bmi	1	0.0346965303469653	0.0397960203979602	0.0504949505049495	0.0785921407859214	0.156384361563844
smoke	1	0.785621437856214	0.954004599540046	0.974902509749025	0.974802519748025	1
diabetes	1	0.992900709929007	0.991800819918008	0.995700429957004	1	1
aspirin	1	0.0170982901709829	0.0103989601039896	0.0067993200679932	0.005999400059994	0.0034996500349965
IL8	1	1	1	1	1	1
TNFRSF9	1	0.001999800019998	0.0002999700029997	0.0004999500049995	0.0004999500049995	0.0001999800019998
TIE2	1	0.996100389961004	1	1	1	1
CD40L	1	1	0.995600439956004	1	1	1
CD244	1	1	0.995500449955005	1	0.995700429957004	1
EGF	1	1	1	1	1	1
ANG1	1	1	1	1	1	1
IL7	1	0.527347265273473	0.747925207479252	0.84021597840216	0.913808619138086	0.95010498950105
PGF	1	0.0033996600339966	0.0147985201479852	0.366363363663634	0.8002199780022	0.965703429657034
IL6	1	0.877312268773123	0.983501649835017	0.995800419958004	0.995500449955005	0.995600439956004
MCP1	1	1	1	1	1	1
CRTAM	1	0.982801719828017	0.995400459954005	1	1	1
MCP4	1	0.985101489851015	0.987201279872013	0.995800419958004	1	1
TRAIL	1	0.995600439956004	1	1	1	1
CXCL9	1	0.320767923207679	0.935606439356064	0.990700929907009	1	1
CAIX	1	1	1	1	1	1
ADA	1	0.0217978202179782	0.0194980501949805	0.0191980801919808	0.0196980301969803	0.0253974602539746
Gal9	1	1	1	1	1	1
VEGFR2	1	0.0701929807019298	0.0646935306469353	0.0838916108389161	0.0828917108289171	0.21997800219978
CD40	1	0.943605639436056	0.995200479952005	1	1	1
IL18	1	1	1	1	1	1
GZMH	1	0.795920407959204	0.957504249575043	0.963403659634037	0.973202679732027	1
CXCL1	1	0.0738926107389261	0.115688431156884	0.294770522947705	0.451054894510549	0.680831916808319
TNFSF14	1	1	1	1	1	1
TWEAK	1	0.984401559844016	0.987801219878012	0.991200879912009	0.995400459954005	0.995500449955005
PDGFsubunitB	1	0.0954904509549045	0.117588241175882	0.198880111988801	0.168183181681832	0.407759224077592
PDCD1	1	1	1	1	1	1
FASLG	1	1	1	1	1	1
MCP2	1	0.845315468453155	0.94000599940006	0.995500449955005	0.982601739826017	0.995300469953005
CCL4	1	1	1	1	0.995100489951005	1
Gal1	1	1	1	1	1	1
PDL1	1	1	1	1	1	1
CD27	1	1	1	1	1	1
HGF	1	0.911308869113089	0.995800419958004	0.995300469953005	1	1
GZMA	1	0.174082591740826	0.576842315768423	0.841315868413159	0.92020797920208	0.952604739526047
HO1	1	1	1	1	1	1
CX3CL1	1	0.995900409959004	1	1	1	1
CD70	1	0.789421057894211	0.853714628537146	0.883911608839116	0.855914408559144	0.944505549445055
TNFRSF12A	1	0.716828317168283	0.986301369863014	1	0.995300469953005	1
CCL23	1	0.408659134086591	0.844515548445156	0.964003599640036	0.964003599640036	0.990600939906009
CD5	1	1	1	1	1	1
CCL3	1	0.996100389961004	1	1	1	1
MMP7	1	0.0133986601339866	0.0161983801619838	0.033996600339966	0.0990900909909009	0.487251274872513
NCR1	1	1	1	1	1	1
DCN	1	0.897310268973103	0.995600439956004	1	1	1
TNFRSF21	1	0.0437956204379562	0.694230576942306	0.961903809619038	0.981101889811019	1
TNFRSF4	1	0.274072592740726	0.926807319268073	0.990900909909009	1	1
CCL17	1	0.976202379762024	1	0.991900809919008	0.995800419958004	1
ANGPT2	1	0.39036096390361	0.759424057594241	0.928407159284072	0.973602639736026	0.991200879912009
LAMP3	1	1	1	1	1	1
CASP8	1	1	1	1	1	1
ICOSLG	1	0.979502049795021	1	1	1	1
MMP12	1	0.326667333266673	0.842015798420158	0.973302669733027	0.987001299870013	0.995200479952005
CXCL13	1	0.964403559644036	0.991800819918008	1	1	1
VEGFA	1	0.98000199980002	1	1	1	1
CCL20	1	0.853214678532147	0.972202779722028	0.987001299870013	0.995100489951005	1
KLRD1	1	0.040995900409959	0.0600939906009399	0.135786421357864	0.245175482451755	0.505249475052495
GZMB	1	0.627737226277372	0.756024397560244	0.858014198580142	0.84051594840516	0.94000599940006
CD83	1	1	1	1	1	1
IL12	1	0.882711728827117	0.987101289871013	1	1	1
CSF1	1	1	1	1	1	1
ARG1	1	0.970902909709029	0.991500849915009	0.995700429957004	1	1
IL4	1	0.995900409959004	0.992000799920008	0.995600439956004	1	1
IL5	1	0.947205279472053	0.988201179882012	0.995700429957004	1	1
CD28	1	1	1	1	1	1
FGF2	1	0.0910908909109089	0.121687831216878	0.217178282171783	0.26957304269573	0.486551344865513
NOS3	1	1	1	1	1	1
ADGRG1	1	0.992700729927007	1	1	1	1
