feature	a0	a0.2	a0.4	a0.6	a0.8	a1
education2_NCIMD	0	0.0651553998579801	0.0511574571996662	0.0415648672673783	0.0243714966558525	0.0313033464263397
age	0	0.0857658375722663	0.12708956996532	0.135986993170515	0.139992821065042	0.100805798668659
bmi	0	0.107371519576098	0.134485806540334	0.129750436914089	0.14142135623731	0.130522721794033
smoke	0	0.0986287898686523	0.0476165589203702	0.0342030590186193	0.0342030590186193	0
diabetes	0	0.0199496854548823	0.0199496854548823	0.014142135623731	0	0
aspirin	0	0.0141421356237309	0	0.0199496854548823	0	0.036848187807864
IL8	0	0	0	0	0	0
TNFRSF9	0	0	0	0.0141421356237309	0.0199496854548823	0.0342030590186193
TIE2	0	0.014142135623731	0	0	0	0
CD40L	0	0	0.014142135623731	0	0	0
CD244	0	0	0.014142135623731	0	0.014142135623731	0
EGF	0	0	0	0	0	0
ANG1	0	0	0	0	0	0
IL7	0	0.118211121924858	0.0952700472842737	0.0778543931494127	0.0601505648540503	0.0457104718437789
PGF	0	0.0994002113179356	0.137442541672171	0.133886624203852	0.080942935417304	0.036848187807864
IL6	0	0.0735052044101429	0.0280702635985568	0.014142135623731	0.014142135623731	0.014142135623731
MCP1	0	0	0	0	0	0
CRTAM	0	0.0280702635985568	0.014142135623731	0	0	0
MCP4	0	0.0280702635985568	0.0243714966558525	0.014142135623731	0	0
TRAIL	0	0.014142135623731	0	0	0	0
CXCL9	0	0.135750288042116	0.0528104603617322	0.0199496854548823	0	0
CAIX	0	0	0	0	0	0
ADA	0	0.101822586865488	0.121960534023497	0.134500751898666	0.13404791763062	0.142328094317885
Gal9	0	0	0	0	0	0
VEGFR2	0	0.12159327540253	0.126745104868157	0.138099083211727	0.130214357482086	0.153210204732488
CD40	0	0.0494288992432768	0.014142135623731	0	0	0
IL18	0	0	0	0	0	0
GZMH	0	0.0879469918009375	0.0436983722659491	0.0392901844353628	0.0342030590186193	0
CXCL1	0	0.137457165552797	0.128191910154837	0.121696549874088	0.121626332774283	0.100331110121893
TNFSF14	0	0	0	0	0	0
TWEAK	0	0.0280702635985568	0.0243714966558525	0.0199496854548823	0.014142135623731	0.014142135623731
PDGFsubunitB	0	0.14134671723235	0.158253660638633	0.159996859265657	0.152298965440911	0.119256490610632
PDCD1	0	0	0	0	0	0
FASLG	0	0	0	0	0	0
MCP2	0	0.0816660684352341	0.0528104603617322	0.014142135623731	0.0280702635985568	0.014142135623731
CCL4	0	0	0	0	0.014142135623731	0
Gal1	0	0	0	0	0	0
PDL1	0	0	0	0	0	0
CD27	0	0	0	0	0	0
HGF	0	0.0614645381275755	0.014142135623731	0.014142135623731	0	0
GZMA	0	0.135676232999759	0.116894489211597	0.0753150835427089	0.0559163050087284	0.0436983722659491
HO1	0	0	0	0	0	0
CX3CL1	0	0.014142135623731	0	0	0	0
CD70	0	0.0879469918009375	0.0753150835427089	0.0674294718082658	0.0735052044101429	0.0476165589203702
TNFRSF12A	0	0.0967356653190726	0.0243714966558525	0	0.014142135623731	0
CCL23	0	0.125369804736621	0.0770303079424491	0.0392901844353628	0.0392901844353628	0.0199496854548823
CD5	0	0	0	0	0	0
CCL3	0	0.014142135623731	0	0	0	0
MMP7	0	0.0639645002046616	0.115523714635637	0.145826357813551	0.138444336001348	0.120129745604053
NCR1	0	0	0	0	0	0
DCN	0	0.0663097649266163	0.014142135623731	0	0	0
TNFRSF21	0	0.149286409832925	0.0967356653190726	0.0392901844353628	0.0280702635985568	0
TNFRSF4	0	0.126808524989648	0.0543947972682061	0.0199496854548823	0	0
CCL17	0	0.0342030590186193	0	0.0199496854548823	0.014142135623731	0
ANGPT2	0	0.124855695599432	0.0905094459103301	0.0543947972682061	0.0342030590186193	0.0199496854548823
LAMP3	0	0	0	0	0	0
CASP8	0	0	0	0	0	0
ICOSLG	0	0.0313033464263397	0	0	0	0
MMP12	0	0.126554653814113	0.0778543931494127	0.0342030590186193	0.0243714966558525	0.014142135623731
CXCL13	0	0.0415648672673783	0.0199496854548823	0	0	0
VEGFA	0	0.0313033464263397	0	0	0	0
CCL20	0	0.0819302313805493	0.036848187807864	0.0243714966558525	0.014142135623731	0
KLRD1	0	0.128368189049308	0.144458788962606	0.136632140100866	0.145522796915502	0.117387816648439
GZMB	0	0.100170708564287	0.0914374322698341	0.0735052044101429	0.0770303079424491	0.0494288992432768
CD83	0	0	0	0	0	0
IL12	0	0.0695715531307526	0.0243714966558525	0	0	0
CSF1	0	0	0	0	0	0
ARG1	0	0.036848187807864	0.0199496854548823	0.014142135623731	0	0
IL4	0	0.014142135623731	0.0199496854548823	0.014142135623731	0	0
IL5	0	0.0511574571996662	0.0243714966558525	0.014142135623731	0	0
CD28	0	0	0	0	0	0
FGF2	0	0.143970963013223	0.144274306017684	0.143523499730443	0.142027670883115	0.128446457570116
NOS3	0	0	0	0	0	0
ADGRG1	0	0.0199496854548823	0	0	0	0
MICAB	0	0.014142135623731	0	0	0	0
CD4	0	0.0991217717161104	0.130726612578239	0.137807673131322	0.141776241001667	0.127188381631777
IL10	0	0	0	0	0	0
CD8A	0	0.140694615655226	0.141648584913652	0.121758472510707	0.102034578826895	0.0639645002046617
CCL19	0	0.0199496854548823	0	0.014142135623731	0	0
CXCL10	0	0.131626851898477	0.1459641313412	0.146376673870075	0.123918436459118	0.102780441210755
PTN	0	0	0	0	0	0
IL12RB1	0	0	0	0	0	0
VEGFC	0	0.089014707158156	0.0651553998579801	0.0573799818016509	0.0634042624948241	0.0415648672673783
MCP3	0	0	0	0	0	0
CXCL5	0	0	0	0	0	0
CXCL11	0	0.132452703230115	0.126137039618897	0.0847757906089164	0.0695715531307526	0.0436983722659491
PDL2	0	0.111413936859951	0.0587901471935151	0.0243714966558525	0.0243714966558525	0
LAPTGFbeta1	0	0.14596757401326	0.13195095784564	0.109801099297936	0.106171379425179	0.0778543931494127
