feature	a0	a0.2	a0.4	a0.6	a0.8	a1
education2_NCIMD	0.000152488735637569	0.00723591165735391	0.0156840480786964	0.013934971930323	0.0186026775745778	0.026009167512359
age	0.000140563596394581	-0.00086000583150639	0.00151610839242518	-0.00210816117234405	-0.000693043023545279	0.00508589326531872
bmi	0.00163191575184429	0.00617709907975088	0.00944753760409121	0.0097400658161986	0.0115966798618501	0.0146654515291849
smoke	0.000259662158084526	0.00168105903079606	0.00440414953675871	0.00172739382513923	-0.00122624779263762	-0.00199482622089902
diabetes	-0.000481164141921007	0.00702633257727065	0.0110996336911378	0.0168815590903545	0.0150158710124931	0.0200335913626447
aspirin	-0.000195660952955453	0.00113712739754998	-0.00126685038617783	0.00909884669288685	-0.0018757356681692	0.00334011320346704
IL8	-0.00182846572120448	0.00756138638295066	0.0120805876992006	0.0161886533747739	0.0161673473738698	0.0315170586606116
TNFRSF9	-0.00227422592665188	0.0035583831248629	0.00228011943745319	0.0172195366426468	0.0138978377820156	0.0284417980404363
TIE2	-0.000132240032968606	-7.34713285412666e-05	-0.000611556700875381	-0.00189761845780682	-0.00346043656226549	-0.00735321540431022
CD40L	0.00206681354444745	-0.0104254572308664	-0.018025000793298	-0.028539231031647	-0.0326951756001501	-0.0410268957799628
CD244	-0.00133904614966163	-0.000324881632594239	-0.00309374475673716	-0.0102230483802052	-0.00726995856915291	0.00154413012459596
EGF	0.00143116194613303	-0.00835057618234645	-0.00944441565548138	-0.0142805468323393	-0.0276377908033783	-0.0278279522060206
ANG1	0.00207857496916253	-0.00629496597314409	-0.0124401384195147	-0.0169508728207588	-0.0275650955120655	-0.0257892789025992
IL7	0.00118675023471787	0.0060330286243039	0.0060084837853247	0.00759543508553565	0.00937717755186816	0.0045040045688124
PGF	-0.00223570291627692	0.0124990805238705	0.027049058024644	0.0327651282479797	0.0416224148165606	0.0541195144576453
IL6	-0.00223244993774389	0.0131996479102907	0.0198180665931881	0.0255656510185985	0.0336921792859545	0.0314132693142781
MCP1	-0.00168873619205138	0.00379580526959606	0.00227947553252382	0.0100876004308374	0.00438776170164961	0.0146550383015182
CRTAM	-0.000461708134333426	-0.00115809122479437	2.11527070846179e-05	0.00366906526364093	-0.00450428563668573	0.00396876777923042
MCP4	-3.68043520657235e-05	0.00153831103945321	0.00596989362892468	0.00315559318673138	0.00156552556536469	0.000266086874284436
TRAIL	0.00179276628968099	-0.00241571909946618	-0.00177003487475684	-0.00103162916843012	-0.00411521634327333	-0.00400112287279843
CXCL9	-0.00173342358107365	0.00435196393259481	0.0103541218505918	0.0181729451232564	0.0154266809009292	0.0153262118851142
CAIX	-0.00168436666270296	0.00353583295995969	0.00814155641354147	0.00844693259958783	0.0131075409741864	0.0201288933165951
