feature	a0	a0.2	a0.4	a0.6	a0.8	a1
education2_NCIMD	0.0539231489426885	0.0435206678740421	0.0638397366854564	0.0717235060000537	0.0789827647496451	0.0844774150397031
age	0.0469275296783761	0.0432388563840459	0.0595871031912539	0.0678499855750662	0.0800302682317585	0.0834868441278357
bmi	0.0493584660556996	0.0454520625841999	0.0629338164690132	0.0715104083212891	0.0809220110278308	0.0866427250033425
smoke	0.0494308691179221	0.0437858324394208	0.063129565886316	0.0708379717779007	0.0809825372284189	0.0864999768757209
diabetes	0.0503754542273342	0.0430275228669287	0.0593191757645314	0.0687353243271365	0.0797835085399687	0.0762775280751626
aspirin	0.0525685004588199	0.0438265684737729	0.0605161006772525	0.0733341747149596	0.0788679733335257	0.0832009810794743
IL8	0.0359225646216515	0.0347111723327985	0.0499797499489099	0.059880571505421	0.0671438827345272	0.076048912023474
TNFRSF9	0.0295909251364937	0.0295959032854066	0.0373269573491714	0.0510022270108405	0.0698955671394347	0.0839064426632173
TIE2	0.0463487111132358	0.0394715622140373	0.0624411964394957	0.0676827527696375	0.0736667234768523	0.0828579673140081
CD40L	0.0389205579250572	0.0363548793210626	0.0517826556879011	0.0628329715955924	0.0780324732097168	0.0761004464348908
CD244	0.0410629349658278	0.0368146831423141	0.0564915531858553	0.0647815406778674	0.0739656745964774	0.0885367121296156
EGF	0.036084293564926	0.0351659700907707	0.0498697663918405	0.0631859573452806	0.0785792922468447	0.0783465700163953
ANG1	0.0408685484545825	0.0377121553863363	0.0562488592126634	0.0662210321781046	0.0781192497170265	0.0850635498973061
IL7	0.0481935532345214	0.0444158775080271	0.0642804065268539	0.0744753198437139	0.0825098398334835	0.0880030984765914
PGF	0.0264774788856629	0.0253164054788666	0.0417870653621481	0.0556194296915996	0.0595063847841524	0.0624965731933262
IL6	0.0481570482705337	0.0442262641105621	0.058402612823184	0.0695138611559557	0.0807540544010147	0.082259263486557
MCP1	0.0468480705578901	0.0426546411398722	0.0579266544085069	0.0720047079011662	0.0803800904758534	0.0861755016770241
CRTAM	0.039964463579827	0.0379708592141169	0.0545720931211153	0.0697600848123582	0.0835511657111923	0.0913818828542952
MCP4	0.0494152346105365	0.0443673966018948	0.063799006901275	0.0756582603858146	0.0863066396831612	0.0882116200397445
TRAIL	0.0473481016043921	0.0409344152530491	0.0605013816683531	0.0700600292672724	0.0819750194106372	0.0881029279437634
CXCL9	0.0418000223367255	0.0357681478274724	0.0558386500295401	0.0680502887193755	0.07452887264743	0.0791807029289358
CAIX	0.0474658550626375	0.0415982146833703	0.0596298554434732	0.0708277278552969	0.0753856761966189	0.0857204048460683
ADA	0.049355514150339	0.0447695249057599	0.0593646095972515	0.0713848064595628	0.0783023317820234	0.0793088067673074
Gal9	0.0394055907389005	0.0365541339951998	0.0527658208790193	0.0665763601939667	0.0765813665356535	0.0795949392636646
VEGFR2	0.0470087891245363	0.0434674027943699	0.058593768757493	0.0676125269534171	0.0816873293166299	0.0831662946575754
CD40	0.0326992010563619	0.0332477442900991	0.0486125959810253	0.0676994172719636	0.0696525708012055	0.079917967539421
IL18	0.0456201774728507	0.0409715519431435	0.0570568715659158	0.0674615475350953	0.0765429864624584	0.0817459828088593
GZMH	0.0441445908042872	0.0383050745163777	0.0580370587947181	0.0726704221918121	0.0834483082223288	0.0833210834947068
CXCL1	0.0459680742211831	0.0416614884318893	0.0585350694335313	0.0713028495810034	0.0803337288082848	0.086227141356988
TNFSF14	0.0352565253860138	0.0372029897934876	0.0545086121053848	0.0630020971477738	0.0807879158718114	0.0821653839659635
TWEAK	0.0458449343463949	0.0402749921650861	0.062112245151501	0.0696056453075645	0.081502796041628	0.0854664171306722
PDGFsubunitB	0.0470848510799357	0.0450745365174772	0.0587829259223713	0.0641322113980188	0.0727653167509889	0.0680380623945049
PDCD1	0.0431122764721775	0.0420540622360802	0.0580987030660236	0.0666778887826711	0.0762747878621284	0.0771741058998062
FASLG	0.0483342605215515	0.0436669574709122	0.0617696904882389	0.0746806220929511	0.0827566239975098	0.0937433852315113
MCP2	0.0497603721496521	0.04357983638304	0.0625071265053336	0.0708819312132072	0.0821042060859018	0.0899404665681345
CCL4	0.0457435888605209	0.0403001446153731	0.0560511531736774	0.071537190582125	0.0832647919977083	0.0844557611380225
Gal1	0.0381942491612493	0.0359761581552728	0.0538683495493061	0.0673002940255847	0.0791106793798632	0.0783035457196973
PDL1	0.0393599184596035	0.036087077153248	0.0517755145546245	0.0677034742742225	0.0733491913528465	0.078272723783074
CD27	0.0355217277257674	0.0317740817623066	0.0477469728032169	0.0597833394779554	0.0756305287983279	0.0854779200012616
HGF	0.0401143805822325	0.0390595742974055	0.0606225719256568	0.0687467223183515	0.0779396590670152	0.0839697738322819
GZMA	0.0370909372049222	0.0335102630615287	0.0515244218214798	0.0664395463238522	0.0712484843953576	0.0815322784067249
HO1	0.0502650952259843	0.0446620802221304	0.0649318646322735	0.0708094560860235	0.0779770262194962	0.0865573017031022
CX3CL1	0.0354132826681599	0.0337977013202878	0.050269962368077	0.0586725380245887	0.0744621033081458	0.0736588510946517
CD70	0.0480300740386884	0.0404047514334153	0.0597809596771932	0.0688037884672629	0.0825131470016771	0.0937614331823202
TNFRSF12A	0.0358701135680755	0.0344429735975768	0.0527920484983801	0.064390744411762	0.0825557213662676	0.0796691411977749
CCL23	0.0446372396180569	0.0414008016971342	0.0599499784901766	0.0720619003901407	0.0793434358338956	0.0821053501007915
CD5	0.0358348238131599	0.036811607123942	0.0483343842548526	0.0694676208417042	0.0793655578992364	0.0809998611405939
CCL3	0.0492482813769453	0.0413809417319143	0.0576060154766984	0.0637369191170857	0.0760951453103666	0.0754469674116086
MMP7	0.0458150394317882	0.0406000126956892	0.0575387815941333	0.0695450749233756	0.0772406319928302	0.0888071727352548
NCR1	0.0339964057095177	0.0330226071797357	0.0526753495529705	0.0599237498974622	0.0715210839934936	0.0777116351924874
DCN	0.0412005668882693	0.0410753804825855	0.0551025139449416	0.0662294511383763	0.0736848697076088	0.081117067019239
TNFRSF21	0.0337989431812131	0.032156551396661	0.0470490535728392	0.0608624135431655	0.0765256925346213	0.0844656115501878
TNFRSF4	0.033476454406986	0.0312885763177826	0.0458295020516289	0.0568380349607919	0.0797005246131403	0.0744108630316068
CCL17	0.0492182697830894	0.0434081301858368	0.0601203344787951	0.0724333503702766	0.0829156169409906	0.0849452733408579
ANGPT2	0.0467412417723605	0.0416708293691755	0.0605866912361171	0.0663360938271381	0.0798450173715138	0.0889974516196547
LAMP3	0.0446433765955836	0.0384717834496145	0.0600049657759552	0.0700629082314528	0.08174654975668	0.0830402713200634
CASP8	0.0385733149515844	0.0391600280203888	0.0565804120076739	0.0644148149793505	0.0815096287856023	0.0832837243344172
ICOSLG	0.0447708998045354	0.0411084855396907	0.0580300665892804	0.0711385015307789	0.08122874810057	0.0881153718306518
MMP12	0.0463248472598018	0.0406192468986383	0.058411264193632	0.0686659791030948	0.0815225746270989	0.0824407450791334
CXCL13	0.0486682004397944	0.0415201061221177	0.0605790638156041	0.0739942498049897	0.083381113861979	0.0838914630617404
