feature	a0	a0.2	a0.4	a0.6	a0.8	a1
education2_NCIMD	1	0.11288	0.08292	0.05826	0.05398	0.03744
age	1	0.10208	0.07356	0.0471	0.04784	0.03202
bmi	1	0.11072	0.0781	0.05298	0.0534	0.03576
smoke	1	0.10802	0.0812	0.054	0.05338	0.03552
diabetes	1	0.11142	0.07924	0.05586	0.0538	0.03386
aspirin	1	0.10978	0.07852	0.05504	0.05438	0.03508
IL8	1	0.07338	0.04462	0.031	0.0258	0.01814
TNFRSF9	1	0.02626	0.01378	0.01034	0.0085	0.0055
TIE2	1	0.08002	0.0599	0.04084	0.03844	0.02572
CD40L	1	0.08014	0.04838	0.03226	0.03106	0.02018
CD244	1	0.05914	0.03846	0.02764	0.02488	0.01672
EGF	1	0.07534	0.044	0.02878	0.02764	0.0182
ANG1	1	0.07638	0.05126	0.03676	0.03234	0.02456
IL7	1	0.10094	0.07544	0.05086	0.05028	0.03374
PGF	1	0.03036	0.01524	0.00882	0.0075	0.0059
IL6	1	0.09456	0.06334	0.04534	0.04594	0.0312
MCP1	1	0.09758	0.06806	0.04812	0.04584	0.0296
CRTAM	1	0.0577	0.03902	0.0253	0.02358	0.0156
MCP4	1	0.1034	0.0742	0.0504	0.05058	0.03356
TRAIL	1	0.08822	0.06282	0.04464	0.04084	0.02688
CXCL9	1	0.06298	0.04116	0.0272	0.02644	0.01598
CAIX	1	0.09006	0.06052	0.04092	0.04022	0.02598
ADA	1	0.0916	0.06584	0.04266	0.04062	0.0288
Gal9	1	0.0525	0.03472	0.02544	0.02398	0.01596
VEGFR2	1	0.09962	0.0646	0.04618	0.04734	0.02638
CD40	1	0.04158	0.02574	0.01778	0.01468	0.01106
IL18	1	0.08216	0.05742	0.03718	0.037	0.02456
GZMH	1	0.0762	0.05636	0.03806	0.0369	0.02424
CXCL1	1	0.09226	0.0661	0.0452	0.04508	0.03012
TNFSF14	1	0.07418	0.04304	0.02954	0.02612	0.0179
TWEAK	1	0.0926	0.06352	0.04454	0.0403	0.03082
PDGFsubunitB	1	0.08826	0.06512	0.04312	0.04562	0.03142
PDCD1	1	0.06538	0.04214	0.02758	0.02734	0.01622
FASLG	1	0.09598	0.07254	0.04708	0.0462	0.02918
