feature	a0	a0.2	a0.4	a0.6	a0.8	a1
education2_NCIMD	0	0.220451730536527	0.193411515689837	0.162149318962998	0.155578212028567	0.132272430988472
age	0	0.212904218888781	0.182033623333719	0.142532878881177	0.146538328597588	0.120516272831521
bmi	0	0.224771292235867	0.186964931440521	0.156842531087571	0.157578307810146	0.127290387242197
smoke	0	0.219791970852088	0.191358882266234	0.155918026677817	0.153665015191127	0.126538258218925
diabetes	0	0.223344066089041	0.188033396118364	0.160019439513149	0.157086051585621	0.1224867368333
aspirin	0	0.220120868887282	0.187312888536324	0.158861959298667	0.156413752995741	0.124301804869718
IL8	0	0.183386855237412	0.138819965056435	0.117270521605064	0.101741806252464	0.0876567668287913
TNFRSF9	0	0.104515571808583	0.0707574184183264	0.0657382426876104	0.0586182020311177	0.0458471394529648
TIE2	0	0.188372896231925	0.165730916469038	0.136491601923853	0.127953130482845	0.106186671295959
CD40L	0	0.190392240704636	0.14746372487841	0.12091631186671	0.117237582988931	0.0923342848676276
CD244	0	0.161805681321302	0.129114272834358	0.107429905140291	0.10212751148863	0.0845763378001883
EGF	0	0.187284254381392	0.138888188817118	0.111431383798863	0.108614962693968	0.0868879447995817
ANG1	0	0.186733988760096	0.154151836443384	0.127602236003384	0.119564016139454	0.105971361192255
IL7	0	0.214969154935673	0.187510859504838	0.152982354407546	0.151664833834947	0.124752429703279
PGF	0	0.113311757357458	0.0837642169688492	0.0604530649124238	0.0525740088127229	0.0470043715104681
IL6	0	0.209644464463405	0.168863542215568	0.143493356760316	0.144081894626757	0.119415183283366
MCP1	0	0.209319194180814	0.174260933910354	0.148400363432125	0.142705048519971	0.114040082927238
CRTAM	0	0.161063043962335	0.13173904173597	0.106193397646795	0.102572100025155	0.0822515442508721
MCP4	0	0.216002559500046	0.185800463350386	0.152256882326618	0.152839784087652	0.122911501185659
TRAIL	0	0.20056234473453	0.168726092971552	0.142636969017478	0.137746113553813	0.10990301846331
CXCL9	0	0.165651029656814	0.135217168910892	0.108357436908656	0.10872952042045	0.081861527783038
CAIX	0	0.202507524131162	0.166649652896971	0.136496947737575	0.134388085840083	0.106443283570462
ADA	0	0.205984666828133	0.171895460105613	0.140235840672422	0.134802940558722	0.11371830628935
Gal9	0	0.154227522228885	0.123174830236864	0.105346647747421	0.102166547364292	0.0813015337735974
VEGFR2	0	0.213720432439962	0.168729626825572	0.144697965950234	0.146877778129201	0.105854693432139
CD40	0	0.135900516905012	0.104950244665677	0.0866753878692575	0.0748936479673048	0.0649468876068822
IL18	0	0.196157034434699	0.161807174612795	0.127934687745087	0.129987267334024	0.10189133714138
GZMH	0	0.182178151510791	0.160655318658118	0.133015810039905	0.128140672712454	0.101456649585794
CXCL1	0	0.205719042464336	0.172990700843305	0.142544701406927	0.142273742418544	0.116748227459185
TNFSF14	0	0.186999530701144	0.136811659382577	0.110980268795882	0.105711224977807	0.0860484191199542
TWEAK	0	0.203797432121541	0.170223697559186	0.140933227513819	0.131718051019959	0.11777739490868
PDGFsubunitB	0	0.208236665001303	0.176324968876971	0.144660838777561	0.148367843219783	0.121763156277351
PDCD1	0	0.177213419524612	0.140050640191974	0.114178138295939	0.110461507207069	0.0826413610697207
FASLG	0	0.210362222907257	0.18150824478324	0.146947721871747	0.145807016184397	0.115281640280049
MCP2	0	0.214933896019138	0.181593325905996	0.153961144459894	0.156148252080075	0.12799584326684
CCL4	0	0.192627803151712	0.160969678895599	0.134151368457299	0.130521175208155	0.105057619001817
Gal1	0	0.164754587212013	0.12401959395986	0.107275781093968	0.10114668291717	0.0795800533958721
PDL1	0	0.155319226131862	0.125380548843123	0.10177816209496	0.0963032493303479	0.0771916203653315
CD27	0	0.137216330049026	0.0995069352508472	0.089125497672852	0.074940349649575	0.0654753167362341
HGF	0	0.172738988869993	0.14080517110398	0.112205253896153	0.10600243040386	0.089716806176608
GZMA	0	0.152795073982977	0.118633847610958	0.0932556704013552	0.0873628824348346	0.071415925558956
HO1	0	0.222909040740936	0.191641024387324	0.151739767021337	0.150018908699193	0.127763808486895
CX3CL1	0	0.150099155812608	0.109535790538713	0.092817734906597	0.0901671858945438	0.0622910877891998
CD70	0	0.186867277868421	0.153441207048179	0.131646084139054	0.127443126825488	0.104638899697641
TNFRSF12A	0	0.1516173102943	0.108708914826781	0.087640347346689	0.0856990340228129	0.069582438672248
CCL23	0	0.185953718646732	0.155946985691403	0.129652641240887	0.118090884261634	0.107368162842806
CD5	0	0.141766567906462	0.102242764821262	0.0860350661257392	0.0816658222921503	0.0658229114029952
CCL3	0	0.211006508844342	0.177825858084758	0.146478551319296	0.153702186178999	0.123542057065545
MMP7	0	0.189855526419673	0.155967433087867	0.130072769988761	0.125450633263203	0.105219098579443
