analyte	Fstat.pval	Fstat.pval.adj
IL8	0.204432665803283	0.299347832069093
TNFRSF9	7.47218691365958e-08	4.71322559169297e-07
TIE2	0.751165135300585	0.779690393603138
CD40L	0.50720925262812	0.577654982159803
CD244	0.197644404278917	0.294669839106749
EGF	0.138084623851121	0.235894565745665
ANG1	0.0141924817582475	0.0314536082209809
IL7	0.524720550627609	0.589412125362519
PGF	7.70001840066925e-10	9.02002155506969e-09
IL6	7.07788230069895e-06	2.63811976662415e-05
MCP1	0.0393160981237515	0.0767600010987529
CRTAM	0.00308522045772519	0.00816090572688599
MCP4	0.254692733290425	0.348080068830248
TRAIL	0.800606796665066	0.820621966581693
CXCL9	7.39164285334937e-12	1.51528678493662e-10
CAIX	9.89853088384507e-10	1.01459941559412e-08
ADA	0.343004730637093	0.439474811128775
Gal9	1.07796406689786e-07	6.31378953468748e-07
VEGFR2	0.0049805540838016	0.0127626698397416
CD40	0.0641261897991436	0.114311903554995
IL18	0.00251054246089877	0.00709877523426548
GZMH	0.193361627492828	0.294200526972736
CXCL1	0.724308818365925	0.762130446568144
TNFSF14	0.407074658695153	0.487531158110467
TWEAK	0.00613059780994352	0.0139641394559825
PDGFsubunitB	0.29753252426824	0.399961753934356
PDCD1	0.048090707180555	0.0896235906546706
FASLG	0.0262260369132794	0.0565930270233924
MCP2	0.461000352940658	0.540028984873342
CCL4	0.0460095602465053	0.0877391614003124
Gal1	1.06927799947698e-11	1.75361591914225e-10
PDL1	0.0497016267279037	0.09056740870418
CD27	1.60082325173505e-09	1.31267506642274e-08
HGF	2.36303715261954e-07	1.21105654071751e-06
GZMA	0.223234943927713	0.315608024173663
HO1	0.482020028088041	0.556699187369287
CX3CL1	1.925755469534e-07	1.05274632334525e-06
CD70	0.327909132321365	0.426802362703998
TNFRSF12A	1.02416107816694e-08	6.99843403414076e-08
CCL23	0.00154935464441053	0.00470544743858012
CD5	0.233299883427439	0.324247295611016
CCL3	0.352412308563739	0.44063057656467
MMP7	5.55111512312578e-16	2.27595720048157e-14
NCR1	4.15371218975835e-07	1.89224666422325e-06
DCN	2.85375056918724e-10	3.90012577788923e-09
TNFRSF21	5.71848418395859e-07	2.34457851542302e-06
TNFRSF4	5.45718998434808e-07	2.34457851542302e-06
CCL17	0.169212879035126	0.283172573079191
ANGPT2	3.2958192488497e-06	1.28693894478893e-05
LAMP3	2.79853917817263e-12	7.64934042033853e-11
CASP8	0.641167142535247	0.691785601156451
ICOSLG	0.00087578653190401	0.00276209598523573
MMP12	1.59311874803336e-09	1.31267506642274e-08
CXCL13	0.0379044489778626	0.0758088979557252
VEGFA	0.00581454602543818	0.0136226506881695
CCL20	0.00012967139666642	0.000443043938610268
KLRD1	0.0357138132861634	0.073213317236635
GZMB	0.849129500118912	0.849129500118912
CD83	2.93883050672683e-07	1.41755353853882e-06
IL12	0.000202204366048564	0.00066323032063929
CSF1	1.08902221798157e-05	3.88260095106474e-05
ARG1	0.222829232667098	0.315608024173663
IL4	0.0911600953493251	0.15904527273712
IL5	0.833511257304183	0.843801519740037
CD28	0.394241300008044	0.482504277621785
FGF2	0.589266864100992	0.644265104750418
NOS3	0.354653878698393	0.44063057656467
ADGRG1	2.39478603614174e-09	1.78520413603293e-08
MICAB	0.410239633044174	0.487531158110467
CD4	0.00579542064444571	0.0136226506881695
IL10	0.00235149603756946	0.00688652411002484
CD8A	0.00553441507930552	0.0136226506881695
CCL19	0.577925708359486	0.640404163317268
CXCL10	0.305753001679016	0.404383002220633
PTN	0	0
IL12RB1	0.00299595617800641	0.00816090572688599
VEGFC	0.0289431289311424	0.0608547839065045
MCP3	0.179481144200192	0.291284570180893
CXCL5	0.724953351613601	0.762130446568144
CXCL11	0.184717044504956	0.291284570180893
PDL2	0.182658957182119	0.291284570180893
LAPTGFbeta1	0.19374181044546	0.294200526972736
