analyte	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_NCIMD_l	education_NCIMD_m	education_NCIMD_u	aspirin_l	aspirin_m	aspirin_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	PSA_l	PSA_m	PSA_u
IL8	0.0087446921376686	0.0464138476896806	0.0840830032416926	-0.0611684392508147	-0.00780656799109991	0.0455553032686149	-0.389019856978658	-0.126281714464016	0.136456428050625	-0.395350449220142	0.184695464322544	0.764741377865231	-0.622787760293089	-0.229482793735832	0.163822172821426	-1.05875132100318	-0.420493274082145	0.217764772838894	-0.269686278988225	0.00059949781088152	0.270885274609988
TNFRSF9	0.0105091172164114	0.0190896474944823	0.0276701777725532	-0.00826084988505738	0.00389427133623707	0.0160493925575315	-0.0802202992667794	-0.0203720612584132	0.0394761767499529	-0.182144398095859	-0.0500176898941818	0.082109018307496	-0.059965412555434	0.029624203261689	0.119213819078812	0.162173379689674	0.307560034011311	0.452946688332948	-0.0889719615792982	-0.0274044733367124	0.0341630149058735
TIE2	-0.0036905310651356	0.000247008293888645	0.00418454765291289	-0.00855989092567902	-0.00298199927195733	0.00259589238176435	-0.0156643993180314	0.0117994968619578	0.039263393041947	-0.0812490036262493	-0.0206170733069749	0.0400148570122995	-0.0496914394763677	-0.00857945373565738	0.0325325320050529	-0.0367900079666791	0.0299268096560429	0.0966436272787649	-0.0461972590400691	-0.0179444121488921	0.0103084347422848
CD40L	-0.00806101663155532	0.00370416535637978	0.0154693473443149	-0.00568484637852778	0.0109816309392462	0.0276481082570202	-0.098446119914161	-0.016385292784956	0.0656755343442489	-0.0793929210384046	0.101772428547545	0.282937778133495	-0.17339057432722	-0.0505498989657647	0.0722907763956906	-0.37991263274646	-0.180565926741288	0.0187807792638849	-0.106061599053981	-0.0216434243911286	0.0627747502717236
CD244	-0.00330333298424577	0.00206792218836906	0.0074391773609839	-0.0107512187050707	-0.00314233491609387	0.00446654887288295	-0.0259553313045625	0.0115085721555618	0.0489724756156861	-0.082548255929259	0.000160649216448229	0.0828695543621555	-0.1209818535074	-0.0649003909665453	-0.008818928425691	-0.0743725052695445	0.0166368838645998	0.107646272998744	-0.0216007199636262	0.0169394027293785	0.0554795254223831
EGF	-0.00476281638186832	0.00982587302417367	0.0244145624302157	-0.00877097575312097	0.0118952630973435	0.0325615019478079	-0.116601039788092	-0.01484656453913	0.086907910709832	-0.091830784377093	0.132812150934637	0.357455086246368	-0.315142125818846	-0.162821111055586	-0.0105000962923254	-0.451971907362805	-0.204784300659456	0.0424033060438931	-0.151454893565214	-0.0467773346762586	0.0579002242126968
ANG1	-0.00708232817356157	-0.00311404524456493	0.00085423768443171	-0.00479114886673186	0.000830293920507165	0.00645173670774619	-0.00269048591638094	0.0249878432220977	0.0526661723605764	-0.0128068639283455	0.0482984691489382	0.109403802226222	-0.0823383874776804	-0.0409054070509292	0.00052757337582205	-0.119047841950468	-0.0518101119091261	0.0154276181322157	-0.0182819182956427	0.0101915215334378	0.0386649613625184
IL7	-0.0145859400286373	-0.00629121986454294	0.00200350029955138	-0.0123288458582523	-0.000578601313465301	0.0111716432313217	-0.0279285414147587	0.0299262030480882	0.0877809475109352	-0.167694361492284	-0.0399686807687067	0.0877569999548702	-0.129193778271453	-0.0425883158199147	0.0440171466316236	-0.0926710372532615	0.0478729121427221	0.188416861538706	-0.0415961441564977	0.0179205837878775	0.0774373117322526
PGF	0.0117384012972813	0.0180968497410697	0.024455298184858	-0.00510396512520165	0.00390336998217763	0.0129107050895569	-0.033511162405886	0.0108383035939388	0.0551877695937636	-0.087420961691491	0.0104891714729967	0.108399304637484	-0.0656215628246047	0.000767219081780682	0.0671560009881661	0.085880550750495	0.193616729746515	0.301352908742535	-0.056597779632637	-0.010974294006753	0.034649191619131
IL6	0.0155897595509081	0.0313979369579576	0.0472061143650072	0.0189674118137417	0.0413611691274932	0.0637549264412447	-0.205966314912345	-0.0957060473909434	0.0145542201304579	-0.363569085783688	-0.120147947954991	0.123273189873705	-0.0567204804596396	0.108333251042943	0.273386982545527	-0.115911216935378	0.15193913142917	0.419789479793718	-0.207992539457142	-0.0945648438364408	0.0188628517842606
