analyte	age_pval	age_pval.adj	bmi_pval	bmi_pval.adj	education_NCIMD_pval	education_NCIMD_pval.adj	aspirin_pval	aspirin_pval.adj	smoke_pval	smoke_pval.adj	diabetes_pval	diabetes_pval.adj	PSA_pval	PSA_pval.adj
IL8	0.0158818128725043	0.11117269010753	0.773738790097209	0.902695255113411	0.34518047744437	0.604065835527647	0.531583199113873	0.744216478759422	0.251955675874704	0.587896577040977	0.195937170904095	0.587896577040977	0.996522087823833	0.996522087823833
TNFRSF9	1.59319045687335e-05	0.000111523331981134	0.529053653530232	0.529053653530232	0.503655433041023	0.529053653530232	0.457075801016	0.529053653530232	0.5159212984089	0.529053653530232	3.98361195300865e-05	0.000139426418355303	0.381962640169645	0.529053653530232
TIE2	0.901884274242265	0.901884274242265	0.293797089450947	0.697751023257355	0.398714870432774	0.697751023257355	0.504104962433843	0.70574694740738	0.681756228850328	0.795382266992049	0.378286010134748	0.697751023257355	0.212456574352707	0.697751023257355
CD40L	0.536197610274181	0.694790657209764	0.195875260512911	0.629997858889601	0.694790657209764	0.694790657209764	0.269999082381257	0.629997858889601	0.418893682111546	0.694790657209764	0.0757054817920661	0.529938372544463	0.614426127171157	0.694790657209764
CD244	0.449462952019422	0.764599915202242	0.41723018232805	0.764599915202242	0.54614279657303	0.764599915202242	0.996954343898338	0.996954343898338	0.0234441963569679	0.164109374498776	0.719429515536024	0.839334434792028	0.387958955534757	0.764599915202242
EGF	0.186159992690534	0.361771929551382	0.25840852110813	0.361771929551382	0.774324183078018	0.774324183078018	0.245729853067305	0.361771929551382	0.0362356524241539	0.253649566969077	0.104138846606445	0.361771929551382	0.380087517154674	0.443435436680454
ANG1	0.123649445728315	0.182783620036014	0.771624079257984	0.771624079257984	0.0766736023892712	0.182783620036014	0.120963831809181	0.182783620036014	0.0529733055090062	0.182783620036014	0.130559728597153	0.182783620036014	0.481945648473939	0.562269923219595
IL7	0.136685067310314	0.6464777388037	0.922908261683818	0.922908261683818	0.309717322375765	0.6464777388037	0.538678889984649	0.6464777388037	0.334155137459365	0.6464777388037	0.503366635700732	0.6464777388037	0.554123776117457	0.6464777388037
PGF	4.33994425314668e-08	3.03796097720267e-07	0.394650353121498	0.891052245959855	0.631088122888217	0.891052245959855	0.833253427981635	0.972128999311907	0.981880642726069	0.981880642726069	0.000462517587144539	0.00161881155500589	0.636465889971325	0.891052245959855
IL6	0.000112149490979431	0.000785046436856017	0.000321902628232513	0.0011266591988138	0.0886850309955417	0.178453511109916	0.332362129284459	0.332362129284459	0.197609828052946	0.276653759274124	0.26535516146076	0.30958102170422	0.101973434919952	0.178453511109916
MCP1	0.0193583923876562	0.0901656889540967	0.600772021307711	0.86717423674572	0.730484915337663	0.86717423674572	0.750567317136598	0.86717423674572	0.86717423674572	0.86717423674572	0.0386424381231843	0.0901656889540967	0.0380119995742016	0.0901656889540967
CRTAM	0.000890162614849279	0.00623113830394495	0.181479074526415	0.423451173894968	0.371900828517722	0.433884299937342	0.566627062414236	0.566627062414236	0.0135559012611264	0.0474456544139425	0.332564048058398	0.433884299937342	0.259131664424705	0.433884299937342
