Analyte	Fstat	Fstat.pval	Fstat.pval.adj	Age.est	Age.se	Age.pval	Age.pval.adj	BMI.est	BMI.se	BMI.pval	BMI.pval.adj	Education.est	Education.se	Education.pval	Education.pval.adj	Aspirin.est	Aspirin.se	Aspirin.pval	Aspirin.pval.adj	Smoking.est	Smoking.se	Smoking.pval	Smoking.pval.adj	Diabetes.est	Diabetes.se	Diabetes.pval	Diabetes.pval.adj	PSA.est	PSA.se	PSA.pval	PSA.pval.adj
IL8	1.39911520163136	0.204432665803283	0.299347832069093	0.0464138476896806	0.0191543352801015	0.0158818128725043	0.11117269010753	-0.00780656799109991	0.0271339019498566	0.773738790097209	0.902695255113411	-0.126281714464016	0.13359934404815	0.34518047744437	0.604065835527647	0.184695464322544	0.294946720812698	0.531583199113873	0.744216478759422	-0.229482793735832	0.199991082528114	0.251955675874704	0.587896577040977	-0.420493274082145	0.324546925642333	0.195937170904095	0.587896577040977	0.00059949781088152	0.137437229860499	0.996522087823833	0.996522087823833
TNFRSF9	7.01762165334828	7.47218691365958e-08	4.71322559169297e-07	0.0190896474944823	0.00436310162568678	1.59319045687335e-05	0.000111523331981134	0.00389427133623707	0.00618074028554948	0.529053653530232	0.529053653530232	-0.0203720612584132	0.0304321453437606	0.503655433041023	0.529053653530232	-0.0500176898941818	0.0671849217553244	0.457075801016	0.529053653530232	0.029624203261689	0.0455552962053326	0.5159212984089	0.529053653530232	0.307560034011311	0.0739274528807459	3.98361195300865e-05	0.000139426418355303	-0.0274044733367124	0.031306364447801	0.381962640169645	0.529053653530232
TIE2	0.605795905099072	0.751165135300585	0.779690393603138	0.000247008293888645	0.00200219378311277	0.901884274242265	0.901884274242265	-0.00298199927195733	0.0028362941862061	0.293797089450947	0.697751023257355	0.0117994968619578	0.013965077470427	0.398714870432774	0.697751023257355	-0.0206170733069749	0.0308306439312548	0.504104962433843	0.70574694740738	-0.00857945373565738	0.0209049751014728	0.681756228850328	0.795382266992049	0.0299268096560429	0.0339247396136212	0.378286010134748	0.697751023257355	-0.0179444121488921	0.0143662498943933	0.212456574352707	0.697751023257355
CD40L	0.899069642569165	0.50720925262812	0.577654982159803	0.00370416535637978	0.00598246063990365	0.536197610274181	0.694790657209764	0.0109816309392462	0.00847471332459426	0.195875260512911	0.629997858889601	-0.016385292784956	0.0417269931635429	0.694790657209764	0.694790657209764	0.101772428547545	0.0921205107004511	0.269999082381257	0.629997858889601	-0.0505498989657647	0.0624630801361763	0.418893682111546	0.694790657209764	-0.180565926741288	0.10136552274273	0.0757054817920661	0.529938372544463	-0.0216434243911286	0.0429256774549615	0.614426127171157	0.694790657209764
CD244	1.41567805829797	0.197644404278917	0.294669839106749	0.00206792218836906	0.00273122189609978	0.449462952019422	0.764599915202242	-0.00314233491609387	0.00386903048570215	0.41723018232805	0.764599915202242	0.0115085721555618	0.0190499669360984	0.54614279657303	0.764599915202242	0.000160649216448229	0.0420565334315377	0.996954343898338	0.996954343898338	-0.0649003909665453	0.0285167830487403	0.0234441963569679	0.164109374498776	0.0166368838645998	0.0462772347180879	0.719429515536024	0.839334434792028	0.0169394027293785	0.0195972121216991	0.387958955534757	0.764599915202242
EGF	1.58643001341389	0.138084623851121	0.235894565745665	0.00982587302417367	0.00741818190733685	0.186159992690534	0.361771929551382	0.0118952630973435	0.0105085463722139	0.25840852110813	0.361771929551382	-0.01484656453913	0.0517409882596984	0.774324183078018	0.774324183078018	0.132812150934637	0.114228366370618	0.245729853067305	0.361771929551382	-0.162821111055586	0.0774534959498167	0.0362356524241539	0.253649566969077	-0.204784300659456	0.12569207423151	0.104138846606445	0.361771929551382	-0.0467773346762586	0.05322734289844	0.380087517154674	0.443435436680454
ANG1	2.55094742151239	0.0141924817582475	0.0314536082209809	-0.00311404524456493	0.00201782653724089	0.123649445728315	0.182783620036014	0.000830293920507165	0.00285843944008809	0.771624079257984	0.771624079257984	0.0249878432220977	0.0140741141802183	0.0766736023892712	0.182783620036014	0.0482984691489382	0.0310713638257296	0.120963831809181	0.182783620036014	-0.0409054070509292	0.0210681972324035	0.0529733055090062	0.182783620036014	-0.0518101119091261	0.0341896176277842	0.130559728597153	0.182783620036014	0.0101915215334378	0.0144784188833475	0.481945648473939	0.562269923219595
IL7	0.877016375109549	0.524720550627609	0.589412125362519	-0.00629121986454294	0.00421777044771568	0.136685067310314	0.6464777388037	-0.000578601313465301	0.00597486512070251	0.922908261683818	0.922908261683818	0.0299262030480882	0.0294184766487757	0.309717322375765	0.6464777388037	-0.0399686807687067	0.064947049558373	0.538678889984649	0.6464777388037	-0.0425883158199147	0.0440378883087651	0.334155137459365	0.6464777388037	0.0478729121427221	0.071464992747269	0.503366635700732	0.6464777388037	0.0179205837878775	0.030263576263266	0.554123776117457	0.6464777388037
PGF	8.66983208084471	7.70001840066925e-10	9.02002155506969e-09	0.0180968497410697	0.00323319839717131	4.33994425314668e-08	3.03796097720267e-07	0.00390336998217763	0.00458012700573418	0.394650353121498	0.891052245959855	0.0108383035939388	0.0225511968294902	0.631088122888217	0.891052245959855	0.0104891714729967	0.0497861842260441	0.833253427981635	0.972128999311907	0.000767219081780682	0.0337579371992192	0.981880642726069	0.981880642726069	0.193616729746515	0.0547826162823703	0.000462517587144539	0.00161881155500589	-0.010974294006753	0.023199021255426	0.636465889971325	0.891052245959855
IL6	5.3799438687411	7.07788230069895e-06	2.63811976662415e-05	0.0313979369579576	0.00803827762488239	0.000112149490979431	0.000785046436856017	0.0413611691274932	0.0113869697762819	0.000321902628232513	0.0011266591988138	-0.0957060473909434	0.0560660864633001	0.0886850309955417	0.178453511109916	-0.120147947954991	0.123776867835457	0.332362129284459	0.332362129284459	0.108333251042943	0.0839279369580522	0.197609828052946	0.276653759274124	0.15193913142917	0.136198842322933	0.26535516146076	0.30958102170422	-0.0945648438364408	0.0576766874683011	0.101973434919952	0.178453511109916
