analyte	Fstat.pval	Fstat.pval.adj
IL8	0.00680385475450396	0.0136077095090079
TNFRSF9	4.6885394314744e-06	2.74614452414929e-05
TIE2	0.0673069936527	0.0904782537626459
CD40L	0.545571990411642	0.573550041201983
CD244	1.17996592226e-05	5.99905356020039e-05
EGF	0.542329490123258	0.573550041201983
ANG1	0.00483304003045937	0.0104291916446755
IL7	0.00272595812348442	0.00677359291290067
PGF	3.99097647152402e-07	3.63622300738855e-06
IL6	0.000446238705874791	0.00135524347710122
MCP1	0.0594242589979164	0.0854875304882306
CRTAM	8.88859018610688e-08	1.04123485037252e-06
MCP4	2.04640635448339e-06	1.39837767556365e-05
TRAIL	0.125903549514668	0.156425622124285
CXCL9	3.79341003053923e-12	7.77649056260543e-11
CAIX	0.000600661599269969	0.00169842245310819
ADA	0.010525364883841	0.0187626069668471
Gal9	2.43614667759795e-05	0.000110980015312796
VEGFR2	1.2437062258952e-05	5.99905356020039e-05
CD40	0.0052730977841885	0.011087026110345
IL18	0.000622624502495284	0.00170184030682044
GZMH	0.00578013257667453	0.0118492717821828
CXCL1	0.389399360621946	0.425743300946661
TNFSF14	0.115409915668302	0.147868954450012
TWEAK	0.0821093343856196	0.106872466978108
PDGFsubunitB	0.121484063789825	0.153256818934856
PDCD1	0.0699611300265537	0.0925292364867323
FASLG	0.0669391477018098	0.0904782537626459
MCP2	0.79243371111793	0.79243371111793
CCL4	0.00292633920814822	0.00685845995757422
Gal1	9.24398418227224e-05	0.000379003351473162
PDL1	0.0654019320980557	0.0904782537626459
CD27	3.20343751525343e-12	7.77649056260543e-11
HGF	0.0438434570309896	0.0653666086643845
GZMA	0.000119046486682262	0.000434198461975373
HO1	0.281957801719786	0.3211186075142
CX3CL1	0.000121787373480897	0.000434198461975373
CD70	0.0305766175164995	0.0473072195538295
TNFRSF12A	4.90876671199736e-07	4.01478848923518e-06
CCL23	0.000102201562510285	0.000399072767897302
CD5	0.011243180281584	0.019615761342338
CCL3	0.00292739144530607	0.00685845995757422
MMP7	5.38569187580329e-07	4.01478848923518e-06
NCR1	0.00436812839475054	0.00968071698296065
DCN	3.74163635752378e-05	0.000161481148061553
TNFRSF21	0.00758599212259492	0.0148107465250663
TNFRSF4	0.0209138880891366	0.0342987764661841
CCL17	0.302339288171384	0.339613994932239
ANGPT2	0.0170535080192342	0.0285385236240246
LAMP3	1.37445610448594e-13	5.63527002839237e-12
CASP8	0.26337097813089	0.304174932489197
ICOSLG	0.0638256686875631	0.0902362902134513
MMP12	2.62992960742281e-10	3.59423713014451e-09
CXCL13	3.18369148821773e-06	2.00817463102965e-05
VEGFA	0.00139136245874361	0.00368037811667663
CCL20	0.00797345199043975	0.0152051875166525
KLRD1	1.46467163952835e-07	1.50128843051656e-06
GZMB	0.00956361604808276	0.0174270336876175
CD83	7.24503137439214e-06	3.96061715133437e-05
IL12	0.0143834061036934	0.0245716520938095
CSF1	0.000192828276173951	0.000608150717163999
ARG1	0.148360174933135	0.181575139470404
IL4	0.749528876869431	0.758782319793745
IL5	0.324909529538743	0.360034884083472
CD28	0.611298282587392	0.634512141419824
FGF2	0.00194973897924144	0.0049962061343062
NOS3	0.0247895872603252	0.0398577677518954
ADGRG1	0.000492084760592926	0.00144110537030785
MICAB	0.0464878090831992	0.0680714347289702
CD4	0.00390946158173056	0.00890488471394182
IL10	2.17320605955251e-10	3.56405793766612e-09
CD8A	0.00899126024689834	0.0167564395510378
CCL19	0.214384940541657	0.251136644634512
CXCL10	0.000174315976150474	0.000571756401773555
PTN	0	0
IL12RB1	0.000128850525788149	0.000440239296442842
VEGFC	0.0355567531158942	0.0539935880648764
MCP3	0.210231574760756	0.249840422179449
CXCL5	0.524136477611099	0.565515673211975
CXCL11	0.20359943442926	0.245516965047049
PDL2	0.0298601988652121	0.0470872366720652
LAPTGFbeta1	0.647004216833067	0.663179322253893
