analyte	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_Ghana_l	education_Ghana_m	education_Ghana_u	aspirin_l	aspirin_m	aspirin_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	PSA_l	PSA_m	PSA_u
IL8	-0.0421862352614832	-0.0179337660222916	0.00631870321690012	-0.0781971810909223	-0.040303424898127	-0.00240966870533158	-0.2657189460352	-0.11501093968695	0.0356970666612997	-0.130060746637167	0.429934172784737	0.989929092206641	0.0188261993987125	0.250441392461828	0.482056585524943	-0.910117215299921	-0.241741811481784	0.426633592336353	-0.0806991699843718	-0.0266202282897214	0.027458713404929
TNFRSF9	-0.00296945395296308	0.00479390134734027	0.0125572566476436	-0.0316890804339579	-0.0195590704920281	-0.00742906055009838	-0.1389751955747	-0.0907326934054313	-0.0424901912361623	-0.317854301168423	-0.138596697212303	0.0406609067438158	-0.110748401250023	-0.0366070419119973	0.0375343174260281	-0.0699205743437266	0.144030247844673	0.357981070033072	-0.028349687306384	-0.0110387061234242	0.0062722750595357
TIE2	-0.00874710278522174	-0.00398048425256989	0.000786134280081974	-0.0148211059333867	-0.00737340736055512	7.42912122764557e-05	-0.0245330622157857	0.00508732690804454	0.0347077160318748	-0.149668243923818	-0.0396059597587976	0.0704563244062229	-0.0117833969552639	0.0337386181768819	0.0792606333090277	-0.0153003293140197	0.116063226090881	0.247426781495781	-0.0122836816110326	-0.00165492116748318	0.00897383927606626
CD40L	-0.00348213497354745	0.0048975949163114	0.0132773248061703	-0.00681918693534783	0.00627388982628153	0.0193669665879109	-0.0373644912439391	0.0147082429994116	0.0667809772427623	-0.22307780346012	-0.0295879728714215	0.163901857717277	-0.0716909195893669	0.00833692158071863	0.0883647627508041	-0.0913997128063124	0.139537817462585	0.370475347731482	-0.0080403411810907	0.0106450520323263	0.0293304452457433
CD244	-0.0121265874453923	-0.00591258258548887	0.000301422274414558	-0.0236915302783204	-0.0139823339560958	-0.00427313763387114	-0.110195873726999	-0.0715812372280063	-0.032966600729014	-0.241234554808677	-0.0977517977958112	0.0457309592170544	-0.0764797395670488	-0.0171349396158815	0.0422098603352857	-0.155295037953094	0.0159571329744818	0.187209303902057	-0.0272770227614273	-0.0134208333897512	0.000435355981925031
EGF	-0.00667219362505689	0.00190511061814844	0.0104824148613538	-0.00561841124644168	0.00778336951979112	0.0211851502860239	-0.0254297560055598	0.0278707310329691	0.081171218071498	-0.14750405041566	0.0505478160214674	0.248599682458594	-0.022663413223451	0.0592512965183803	0.141166006260212	-0.198912096051484	0.0374703988888315	0.273852893829147	-0.0314214100295934	-0.0122954591216339	0.00683049178632561
ANG1	-0.0045520931267502	-0.000647565329114255	0.00325696246852169	0.0018538489462444	0.00795455658769609	0.0140552642291478	-0.00349193365691735	0.0207713112238191	0.0450345561045555	-0.10516193176074	-0.0150055147850889	0.0751509021905626	-0.0196528215296125	0.0176360809219504	0.0549249833735133	-0.00523025426915159	0.102374885550873	0.209980025370897	0.000683949617483959	0.00939039220817389	0.0180968347988638
IL7	-0.00607717855142239	0.000648044274764835	0.00737326710095206	-0.00146206552066702	0.00904589354957629	0.0195538526198196	-0.0546594728760813	-0.0128680612723283	0.0289233503314247	-0.371662978806846	-0.216376085027011	-0.0610891912471767	-0.0797899619676116	-0.0155629437651656	0.0486640744372803	-0.135486918958455	0.0498539417138277	0.23519480238611	0.0102368104036131	0.0252329301600785	0.0402290499165438
PGF	0.00666435546122441	0.0109875395120837	0.0153107235629429	-0.00720887485773323	-0.000454029370284539	0.00630081611716415	-0.0504525242865455	-0.0235876948559542	0.00327713457463721	-0.138184589701435	-0.0383613065408595	0.0614619766197165	-0.0398661069124068	0.00142103373754539	0.0427081743874976	0.0640890141523832	0.183231929344861	0.302374844537338	-0.00724148262839873	0.00239849324027915	0.012038469108957
IL6	-0.0294911583879786	-0.00903783312505902	0.0114154921378605	-0.0890986612336424	-0.0571409536204093	-0.0251832460071763	-0.240061341000305	-0.1129617107249	0.0141379195505052	-0.288145774538863	0.184126063827579	0.656397902194021	-0.0597490141600206	0.135583709812613	0.330916433785246	-0.769189915175109	-0.205515371473958	0.358159172227193	-0.0807731303977456	-0.0351656430344501	0.0104418443288454
