analyte	age_pval	age_pval.adj	bmi_pval	bmi_pval.adj	education_Ghana_pval	education_Ghana_pval.adj	aspirin_pval	aspirin_pval.adj	smoke_pval	smoke_pval.adj	diabetes_pval	diabetes_pval.adj	PSA_pval	PSA_pval.adj
IL8	0.14693351401511	0.205706919621154	0.0371484805504461	0.130019681926561	0.13444603532964	0.205706919621154	0.132113677576211	0.205706919621154	0.0341193356438731	0.130019681926561	0.477733185097086	0.477733185097086	0.334020527334971	0.389690615224132
TNFRSF9	0.225675146838003	0.263287671311004	0.00162316408742401	0.00568107430598403	0.000242261563762875	0.00169583094634013	0.129409307415329	0.263287671311004	0.332551875195562	0.332551875195562	0.186609137220531	0.263287671311004	0.210902047232326	0.263287671311004
TIE2	0.101511587841633	0.236860371630477	0.0523214517833784	0.236860371630477	0.735974496777553	0.759845082804589	0.479969044538631	0.671956662354083	0.146014733567272	0.255525783742726	0.0832140889895564	0.236860371630477	0.759845082804589	0.759845082804589
CD40L	0.251458233346213	0.607258413247008	0.347004807569719	0.607258413247008	0.579249346474173	0.810949085063842	0.764011231856401	0.837940827726368	0.837940827726368	0.837940827726368	0.235799707607101	0.607258413247008	0.263614386598967	0.607258413247008
CD244	0.0621539892728854	0.108769481227549	0.00484171697034493	0.0169460093962072	0.000296686883069212	0.00207680818148449	0.181381181719859	0.253933654407802	0.570846486816574	0.66598756795267	0.854845056512569	0.854845056512569	0.0576191261667089	0.108769481227549
EGF	0.662805841211874	0.755642540851413	0.254457023765526	0.533440836659124	0.304823335233785	0.533440836659124	0.616344020419015	0.755642540851413	0.155939049680119	0.533440836659124	0.755642540851413	0.755642540851413	0.207211224618489	0.533440836659124
ANG1	0.744723288185904	0.744723288185904	0.0106958917731293	0.0748712424119052	0.0932184099539557	0.163132217419422	0.74384878231346	0.744723288185904	0.353293125576175	0.494610375806646	0.0621811192903183	0.145089278344076	0.0345717162975551	0.121001007041443
IL7	0.849947527735493	0.849947527735493	0.0914096450351783	0.213289171748749	0.545552745606442	0.740008900481696	0.00639901665236284	0.0223965582832699	0.634293343270025	0.740008900481696	0.597468415119008	0.740008900481696	0.00101049765544995	0.00707348358814962
PGF	7.99384406342364e-07	5.59569084439655e-06	0.89501127599468	0.946124059297055	0.085150386842913	0.198684235966797	0.450665800105495	0.788665150184617	0.946124059297055	0.946124059297055	0.00263643237345309	0.00922751330708581	0.625237093838928	0.8753319313745
IL6	0.385798323531427	0.474195270775732	0.000480627349922314	0.0033643914494562	0.0814075469188937	0.284926414216128	0.444120199391439	0.474195270775732	0.173305976178257	0.303285458311949	0.474195270775732	0.474195270775732	0.130461528989073	0.303285458311949
MCP1	0.272378125478958	0.476661719588177	0.227326789347487	0.476661719588177	0.0634841763917569	0.389576363856685	0.111307532530481	0.389576363856685	0.36133179400292	0.505864511604088	0.718748812984449	0.777442158457505	0.777442158457505	0.777442158457505
CRTAM	0.18040190621825	0.217335573891924	2.4122071657422e-05	0.000168854501601954	0.000284675181705771	0.000996363135970197	0.162885667950032	0.217335573891924	0.186287634764506	0.217335573891924	0.809754055427773	0.809754055427773	0.144578301768378	0.217335573891924
MCP4	0.000962147188586074	0.00336751516005126	1.4609540482632e-06	1.02266783378424e-05	0.870927189447674	0.876157683485751	0.873682949153552	0.876157683485751	0.128743594087074	0.300401719536505	0.876157683485751	0.876157683485751	0.657469276801661	0.876157683485751
TRAIL	0.379730499451055	0.740364461978116	0.0178591771034846	0.125014239724392	0.550196417302563	0.740364461978116	0.49663395162374	0.740364461978116	0.0553915033152952	0.193870261603533	0.989294496643807	0.989294496643807	0.634598110266956	0.740364461978116
CXCL9	1.28413934513166e-05	8.9889754159216e-05	0.000494876941180569	0.00115471286275466	3.82017080379844e-05	0.000133705978132945	0.0261669427674576	0.0457921498430508	0.618927803476571	0.722082437389333	0.803514865387691	0.803514865387691	0.151785037326315	0.21249905225684
CAIX	0.680872932856166	0.680872932856166	0.000127809788128246	0.000894668516897724	0.0615471691925438	0.215415092173903	0.436396898344645	0.610955657682503	0.297762199424293	0.521083848992513	0.626252761126465	0.680872932856166	0.292750479659565	0.521083848992513
ADA	0.202668752435577	0.35467031676226	0.00629333420496286	0.04405333943474	0.0398281024026703	0.139398358409346	0.548216432747348	0.725159813151599	0.703051087982915	0.725159813151599	0.725159813151599	0.725159813151599	0.1082763710966	0.252644865892066
Gal9	0.000326982172386276	0.00228887520670394	0.535089995650152	0.660408401850389	0.00549882662541509	0.0192458931889528	0.109131148531754	0.190979509930569	0.56606434444319	0.660408401850389	0.972901055063072	0.972901055063072	0.0121305805799088	0.0283046880197872
VEGFR2	0.444250597414676	0.519756378216469	0.232419564459585	0.406734237804274	2.02031882072727e-05	0.000141422317450909	0.445505467042688	0.519756378216469	0.0209548781287674	0.0539283368054743	0.0231121443452033	0.0539283368054743	0.5459378912315	0.5459378912315
CD40	0.0210183112275473	0.0735640892964155	0.696981551655135	0.935333013283408	0.00805241038989792	0.0563668727292855	0.875894220274544	0.935333013283408	0.434384070129687	0.760172122726953	0.0953913517546887	0.22257982076094	0.935333013283408	0.935333013283408
IL18	0.30696224076774	0.429747137074836	0.0131493095591309	0.0460225834569581	0.0051401630312563	0.0359811412187941	0.063828712829322	0.148933663268418	0.687518170693104	0.687518170693104	0.603318213154513	0.687518170693104	0.191113768430427	0.334449094753247
GZMH	0.612737784553614	0.714860748645883	0.417329479561186	0.696195420198981	0.0065024320325146	0.0455170242276022	0.802314658441792	0.802314658441792	0.497282442999272	0.696195420198981	0.0180999905765214	0.0633499670178247	0.194672762790678	0.454236446511581
CXCL1	0.146235464677575	0.370989077299744	0.914901707885282	0.914901707885282	0.781116936533153	0.911303092622011	0.211993758456997	0.370989077299744	0.452125929738549	0.632976301633968	0.197529668624221	0.370989077299744	0.115339039722053	0.370989077299744
TNFSF14	0.695442898589696	0.853361861904145	0.731453024489267	0.853361861904145	0.436863407962218	0.764510963933882	0.211653872328283	0.493859035432659	0.0100007540928063	0.0700052786496438	0.880995011285913	0.880995011285913	0.138431499999599	0.484510249998597
TWEAK	0.947471289432658	0.947471289432658	0.619600469550017	0.867440657370023	0.209408939082906	0.683660734321892	0.30925434024333	0.683660734321892	0.00216664951704072	0.015166546619285	0.390663276755367	0.683660734321892	0.922888972923669	0.947471289432658
PDGFsubunitB	0.231265859606637	0.48465142963405	0.440387020580039	0.513784857343379	0.0289367054714124	0.202556938299886	0.971387932472137	0.971387932472137	0.2769436740766	0.48465142963405	0.275760494972229	0.48465142963405	0.39441445722898	0.513784857343379
PDCD1	0.578267577829114	0.773801529648337	0.0346266924431639	0.124656332751336	0.0356160950718104	0.124656332751336	0.663258453984289	0.773801529648337	0.170027469913659	0.39673076313187	0.837495408806443	0.837495408806443	0.5555881032091	0.773801529648337
FASLG	0.816975673157731	0.953138285350687	0.0749727828742161	0.262404740059756	0.0418082063201297	0.262404740059756	0.976090290045525	0.976090290045525	0.723882421760646	0.953138285350687	0.266514490916246	0.46640035910343	0.152360661686545	0.355508210601939
MCP2	0.111925885884354	0.783481201190479	0.357140149039602	0.878028224940938	0.626449605764556	0.878028224940938	0.719158349971397	0.878028224940938	0.878028224940938	0.878028224940938	0.786960713541204	0.878028224940938	0.835569764166511	0.878028224940938
CCL4	0.229894651854233	0.268210427163272	0.0273161269474637	0.0956064443161229	0.0638093049374744	0.14888837818744	0.0211878186068543	0.0956064443161229	0.225442264382339	0.268210427163272	0.345517660988009	0.345517660988009	0.147035349466242	0.257311861565923
Gal1	0.00556110089204706	0.0194638531221647	2.35416017186257e-05	0.00016479121203038	0.430373513973883	0.753153649454296	0.942940366262725	0.942940366262725	0.677341462847369	0.864780604172778	0.115194795435731	0.268787856016706	0.741240517862381	0.864780604172778
