Analyte	Fstat	Fstat.pval	Fstat.pval.adj	Age.est	Age.se	Age.pval	Age.pval.adj	BMI.est	BMI.se	BMI.pval	BMI.pval.adj	Education.est	Education.se	Education.pval	Education.pval.adj	Aspirin.est	Aspirin.se	Aspirin.pval	Aspirin.pval.adj	Smoking.est	Smoking.se	Smoking.pval	Smoking.pval.adj	Diabetes.est	Diabetes.se	Diabetes.pval	Diabetes.pval.adj	PSA.est	PSA.se	PSA.pval	PSA.pval.adj
IL8	2.81952099218405	0.00680385475450396	0.0136077095090079	-0.0179337660222916	0.0123470967303527	0.14693351401511	0.205706919621154	-0.040303424898127	0.0192919685238797	0.0371484805504461	0.130019681926561	-0.11501093968695	0.0767264691305498	0.13444603532964	0.205706919621154	0.429934172784737	0.285097215067688	0.132113677576211	0.205706919621154	0.250441392461828	0.117916867134842	0.0341193356438731	0.130019681926561	-0.241741811481784	0.340274455427209	0.477733185097086	0.477733185097086	-0.0266202282897214	0.0275319563378697	0.334020527334971	0.389690615224132
TNFRSF9	5.44003658818283	4.6885394314744e-06	2.74614452414929e-05	0.00479390134734027	0.00395237688581588	0.225675146838003	0.263287671311004	-0.0195590704920281	0.00617547040740576	0.00162316408742401	0.00568107430598403	-0.0907326934054313	0.0245605853541562	0.000242261563762875	0.00169583094634013	-0.138596697212303	0.0912612630849471	0.129409307415329	0.263287671311004	-0.0366070419119973	0.0377458693561444	0.332551875195562	0.332551875195562	0.144030247844673	0.108923816005908	0.186609137220531	0.263287671311004	-0.0110387061234242	0.00881313803783407	0.210902047232326	0.263287671311004
TIE2	1.90009405106891	0.0673069936527	0.0904782537626459	-0.00398048425256989	0.00242671785371187	0.101511587841633	0.236860371630477	-0.00737340736055512	0.00379167390298796	0.0523214517833784	0.236860371630477	0.00508732690804454	0.0150799411843645	0.735974496777553	0.759845082804589	-0.0396059597587976	0.0560334560389022	0.479969044538631	0.671956662354083	0.0337386181768819	0.0231755669352172	0.146014733567272	0.255525783742726	0.116063226090881	0.0668780778332579	0.0832140889895564	0.236860371630477	-0.00165492116748318	0.00541117409637524	0.759845082804589	0.759845082804589
CD40L	0.8507585057631	0.545571990411642	0.573550041201983	0.0048975949163114	0.00426617737368847	0.251458233346213	0.607258413247008	0.00627388982628153	0.00666577426320483	0.347004807569719	0.607258413247008	0.0147082429994116	0.0265105825050427	0.579249346474173	0.810949085063842	-0.0295879728714215	0.0985069862807029	0.764011231856401	0.837940827726368	0.00833692158071863	0.0407427172179059	0.837940827726368	0.837940827726368	0.139537817462585	0.117571864405913	0.235799707607101	0.607258413247008	0.0106450520323263	0.00951286053289413	0.263614386598967	0.607258413247008
CD244	5.11781693087214	1.17996592226e-05	5.99905356020039e-05	-0.00591258258548887	0.0031635920586644	0.0621539892728854	0.108769481227549	-0.0139823339560958	0.00494301775964186	0.00484171697034493	0.0169460093962072	-0.0715812372280063	0.0196589735815435	0.000296686883069212	0.00207680818148449	-0.0977517977958112	0.0730480456444686	0.181381181719859	0.253933654407802	-0.0171349396158815	0.0302128405241476	0.570846486816574	0.66598756795267	0.0159571329744818	0.0871856427843115	0.854845056512569	0.854845056512569	-0.0134208333897512	0.00705428007345751	0.0576191261667089	0.108769481227549
EGF	0.85473842938367	0.542329490123258	0.573550041201983	0.00190511061814844	0.0043667638182334	0.662805841211874	0.755642540851413	0.00778336951979112	0.00682293756762113	0.254457023765526	0.533440836659124	0.0278707310329691	0.0271356397878091	0.304823335233785	0.533440836659124	0.0505478160214674	0.100829549701043	0.616344020419015	0.755642540851413	0.0592512965183803	0.0417033348170063	0.155939049680119	0.533440836659124	0.0374703988888315	0.120343932883902	0.755642540851413	0.755642540851413	-0.0122954591216339	0.00973715144596237	0.207211224618489	0.533440836659124
ANG1	2.94962186229938	0.00483304003045937	0.0104291916446755	-0.000647565329114255	0.00198782160811304	0.744723288185904	0.744723288185904	0.00795455658769609	0.00310591167561941	0.0106958917731293	0.0748712424119052	0.0207713112238191	0.0123525826826148	0.0932184099539557	0.163132217419422	-0.0150055147850889	0.0458992439195227	0.74384878231346	0.744723288185904	0.0176360809219504	0.018984033378099	0.353293125576175	0.494610375806646	0.102374885550873	0.0547825071722574	0.0621811192903183	0.145089278344076	0.00939039220817389	0.00443250902760836	0.0345717162975551	0.121001007041443
IL7	3.1648325523553	0.00272595812348442	0.00677359291290067	0.000648044274764835	0.00342385659576152	0.849947527735493	0.849947527735493	0.00904589354957629	0.00534967329715106	0.0914096450351783	0.213289171748749	-0.0128680612723283	0.0212762913532808	0.545552745606442	0.740008900481696	-0.216376085027011	0.0790576118062743	0.00639901665236284	0.0223965582832699	-0.0155629437651656	0.0326984109793743	0.634293343270025	0.740008900481696	0.0498539417138277	0.0943582903760346	0.597468415119008	0.740008900481696	0.0252329301600785	0.00763462637090237	0.00101049765544995	0.00707348358814962
PGF	6.29441289026533	3.99097647152402e-07	3.63622300738855e-06	0.0109875395120837	0.00220096234872521	7.99384406342364e-07	5.59569084439655e-06	-0.000454029370284539	0.00343893769370657	0.89501127599468	0.946124059297055	-0.0235876948559542	0.0136770670381023	0.085150386842913	0.198684235966797	-0.0383613065408595	0.0508207111189021	0.450665800105495	0.788665150184617	0.00142103373754539	0.0210195635873994	0.946124059297055	0.946124059297055	0.183231929344861	0.06065646693989	0.00263643237345309	0.00922751330708581	0.00239849324027915	0.00490777715683018	0.625237093838928	0.8753319313745
IL6	3.8287159697411	0.000446238705874791	0.00135524347710122	-0.00903783312505902	0.0104129267411062	0.385798323531427	0.474195270775732	-0.0571409536204093	0.0162698858944752	0.000480627349922314	0.0033643914494562	-0.1129617107249	0.064707284603685	0.0814075469188937	0.284926414216128	0.184126063827579	0.240436798984115	0.444120199391439	0.474195270775732	0.135583709812613	0.0994452158131578	0.173305976178257	0.303285458311949	-0.205515371473958	0.286970536767806	0.474195270775732	0.474195270775732	-0.0351656430344501	0.0232190814283336	0.130461528989073	0.303285458311949
MCP1	1.95318798318715	0.0594242589979164	0.0854875304882306	0.0037203114320333	0.003386140902721	0.272378125478958	0.476661719588177	-0.00639441583010138	0.00529074365734308	0.227326789347487	0.476661719588177	-0.0391271876687823	0.0210419211186412	0.0634841763917569	0.389576363856685	0.124697691877924	0.0781867480489858	0.111307532530481	0.389576363856685	0.0295435724863643	0.0323382197164174	0.36133179400292	0.505864511604088	-0.0336240822108404	0.0933188810970197	0.718748812984449	0.777442158457505	0.00213521869027949	0.00755052669656423	0.777442158457505	0.777442158457505
