analyte	Fstat.pval	Fstat.pval.adj
IL8	0.255897469708342	0.287446472823069
TNFRSF9	4.55191440096314e-15	3.73256980878978e-14
TIE2	0.0320738694788034	0.0482468839692831
CD40L	0.544460959588164	0.558072483577868
CD244	0.148651107849097	0.190459231931655
EGF	0.156134263398196	0.196969378440801
ANG1	8.43596633059995e-06	2.38534220382481e-05
IL7	0.000251675083050795	0.000543088337109611
PGF	0	0
IL6	0.00549128009906186	0.010721070669597
MCP1	0.198832599920504	0.23629381439828
CRTAM	2.28126816104179e-07	9.35319946027135e-07
MCP4	0.00680207315353687	0.0123948888575561
TRAIL	0.540567616128892	0.558072483577868
CXCL9	0	0
CAIX	0.0892139223150763	0.123992231014174
ADA	0.175106279984137	0.211157572922048
Gal9	1.6956227117948e-06	5.79337759863222e-06
VEGFR2	4.5641667112406e-09	2.07923150178739e-08
CD40	0.0232864257935563	0.0360280550013513
IL18	0.30364988957185	0.336476904660699
GZMH	0.145375839024283	0.189219346031606
CXCL1	0.35423733910764	0.377239763725019
TNFSF14	0.0150808058067642	0.0257630432532222
TWEAK	2.53605373146115e-07	9.90268599903878e-07
PDGFsubunitB	0.000474274796610552	0.000997193162104238
PDCD1	0.000247559463485869	0.000543088337109611
FASLG	0.218975222244798	0.252900960902443
MCP2	0.032360714857446	0.0482468839692831
CCL4	0.0837255784755115	0.120447323420911
Gal1	2.14191798075802e-07	9.24406707485042e-07
PDL1	0.119492599381875	0.15803859918248
CD27	0	0
HGF	7.42724970526076e-07	2.64797598187558e-06
GZMA	0.524186141789927	0.551067482394539
HO1	0.00575747841905039	0.0107298461445939
CX3CL1	4.32589541965456e-09	2.07923150178739e-08
CD70	0.00905941981868374	0.0161494005463493
TNFRSF12A	0	0
CCL23	9.44852174256106e-06	2.49928639641938e-05
CD5	9.10356007000068e-06	2.48830641913352e-05
CCL3	0.105452268358006	0.144118100089274
MMP7	0	0
NCR1	1.8381528998912e-06	5.93085033550301e-06
DCN	0	0
TNFRSF21	1.88051352101315e-06	5.93085033550301e-06
TNFRSF4	4.14825507277783e-10	2.42969225691273e-09
CCL17	0.011993414579109	0.0209246807550412
ANGPT2	1.4432899320127e-14	1.07590704022765e-13
LAMP3	4.94382312865582e-13	3.11841151192136e-12
CASP8	0.161690319067316	0.200887972174544
ICOSLG	0.000241631530343289	0.000543088337109611
MMP12	0	0
CXCL13	1.48630694318808e-05	3.80866154191944e-05
VEGFA	0.0856530949325038	0.121095754904574
CCL20	0.0188340591306686	0.0308878569742965
KLRD1	6.68348368045857e-05	0.000161189900528707
GZMB	0.173151366678824	0.211157572922048
CD83	4.30766533554561e-14	2.94357131262283e-13
IL12	0.00194261920210725	0.00398236936431987
CSF1	0.00015878223778576	0.000372004099955208
ARG1	0.0182132569611513	0.0304793279758042
IL4	0.0227615665911705	0.035893239624538
IL5	0.329869256871058	0.355911566624036
CD28	0.590426615892425	0.597715833372579
FGF2	0.209494883248128	0.24540829180495
NOS3	3.22814197595278e-09	1.6544227626758e-08
ADGRG1	0	0
MICAB	0.309720835415116	0.338628113387193
CD4	2.97649727087901e-09	1.62715184141386e-08
IL10	0.00575423694627597	0.0107298461445939
CD8A	0.0209827975930714	0.0337370471104286
CCL19	2.50092693009352e-05	6.21442449295965e-05
CXCL10	4.26566535871586e-07	1.58992981552137e-06
PTN	0	0
IL12RB1	6.42118366611655e-06	1.88048950221985e-05
VEGFC	4.77586954028553e-06	1.45044926779042e-05
MCP3	0.118899661316532	0.15803859918248
CXCL5	0.685993397820069	0.685993397820069
CXCL11	0.00212781418932151	0.00425562837864302
PDL2	0.252253192023663	0.287288357582506
LAPTGFbeta1	0.0462260933943019	0.0676882081845136
