analyte	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_NCIMD_l	education_NCIMD_m	education_NCIMD_u	aspirin_l	aspirin_m	aspirin_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	PSA_l	PSA_m	PSA_u
IL8	-0.0609948614344922	-0.0271040274640049	0.00678680650648249	-0.062299015772935	-0.00297747772693617	0.0563440603190626	-0.398878980685089	-0.148568612759013	0.101741755167064	-0.908206394280858	-0.348386029256268	0.211434335768322	-0.563173222526377	-0.13445736119258	0.294258500141218	-0.927765362981176	-0.18355375200475	0.560657858971676	-0.0837791751000895	0.18682070181452	0.45742057872913
TNFRSF9	0.0194029563519558	0.0251358302214975	0.0308687040910391	-0.00172569457593208	0.00830896245437518	0.0183436194846824	-0.0612340768263607	-0.0188923106482733	0.0234494555298141	-0.192754657294675	-0.0980570896549548	-0.00335952201523505	-0.0384769930151553	0.0340433220953797	0.106563637205915	-0.048583663490531	0.077304985389917	0.203193634270365	-0.0495479093058881	-0.00377402941801458	0.0419998504698589
TIE2	-0.00771077314713086	-0.0045106215739097	-0.00131047000068854	-0.00556040973487064	4.10432559030779e-05	0.0056424962466768	-0.00752866137201806	0.0161069658424008	0.0397425930568196	-0.0872147472535608	-0.0343535511137797	0.0185076450260014	-0.0155208189800532	0.0249607973562971	0.0654424136926474	-0.0406599204428794	0.029612471194033	0.0998848628309454	-0.0277520782421609	-0.00220060840887701	0.0233508614244069
CD40L	-0.0159460153311758	-0.00525750665558578	0.00543100202000428	-0.0141801292704407	0.00452872795644705	0.0232375851833348	-0.128705589582747	-0.0497625768053742	0.0291804359719988	-0.177787097916924	-0.00123066281863207	0.17532577227966	-0.153552030327927	-0.0183434011386973	0.116865228050532	-0.446021578825951	-0.211311737595036	0.0233981036358785	-0.0886914334450041	-0.003349504871217	0.0819924237025701
CD244	-0.00643110971125332	-0.00184505475435492	0.00274100020254349	-0.00551641165494813	0.00251088663589939	0.0105381849267469	-0.0631338038752468	-0.029262194088657	0.00460941569793265	-0.108810723748744	-0.0330567024039339	0.0426973189408757	-0.113202676693658	-0.0551895129372581	0.00282365081914155	-0.090898692150508	0.00980686589128797	0.110512423933084	-0.0598471114014855	-0.0232299568062042	0.013387197789077
EGF	-0.0257118684708586	-0.0135538215733634	-0.0013957746758681	-0.0137217126137678	0.00755938192119892	0.0288404764561656	-0.157224105031503	-0.0674274008599662	0.0223693033115708	-0.210110870119289	-0.00928010100723549	0.191550668104818	-0.168506861340823	-0.0147087118961861	0.139089437548451	-0.45918859661057	-0.192209044682424	0.0747705072457209	-0.0666213297880106	0.0304540622442191	0.127529454276449
ANG1	-0.0138583491473671	-0.0101981870539712	-0.00653802496057527	-0.00917130754573197	-0.00276466541154947	0.00364197672263304	-0.037779040989987	-0.0107458755900199	0.0162872898099472	0.0162627002340733	0.076722507182418	0.137182314130763	-0.0444529675035834	0.00184773863595869	0.0481484447755007	-0.153674591522472	-0.07330079103314	0.00707300945619176	-0.0187801572190671	0.0104442464301008	0.0396686500792687
IL7	-0.0155388527463652	-0.00824601760654457	-0.000953182466723979	-0.0228365641394339	-0.0100713959058401	0.00269377232775359	0.00220697094956777	0.0560702735954206	0.109933576241273	-0.121879694954305	-0.00141415451957322	0.119051385915158	-0.154083689278007	-0.0618300108569855	0.030423667564036	-0.303632816322674	-0.143488849587667	0.01665511714734	-0.0153201352677351	0.0429091869411103	0.101138509149956
PGF	0.0142822289415296	0.0182316057250092	0.0221809825084888	-0.00407009400871631	0.00284278117526965	0.00975565635925562	-0.0335763855306301	-0.00440714299701917	0.0247620995365918	-0.0998061265372214	-0.0345689726072672	0.0306681813226869	-0.03630589599569	0.0136533487645776	0.0636125935248451	-0.0643995692314517	0.0223251204278744	0.1090498100872	-0.00566123377335366	0.0258723918798139	0.0574060175329814
IL6	-0.00469883773642774	0.0101207732221747	0.0249403841807772	-0.0119154034704956	0.014024416012058	0.0399642354946116	-0.254515909932179	-0.145061469395266	-0.035607028858353	-0.279594496435677	-0.0347991035695167	0.209996289296643	-0.0906696326271466	0.0967970517950096	0.284263736217166	-0.43620027107874	-0.110775214995741	0.214649841087257	-0.00562224387949015	0.112704289625479	0.231030823130449
