analyte	age_pval	age_pval.adj	bmi_pval	bmi_pval.adj	education_NCIMD_pval	education_NCIMD_pval.adj	aspirin_pval	aspirin_pval.adj	smoke_pval	smoke_pval.adj	diabetes_pval	diabetes_pval.adj	PSA_pval	PSA_pval.adj
IL8	0.116710867825997	0.427038102163354	0.921460519992709	0.921460519992709	0.244021772664774	0.427038102163354	0.221939604183209	0.427038102163354	0.537935612343707	0.732766328028613	0.628085424024525	0.732766328028613	0.175504423078921	0.427038102163354
TNFRSF9	1.30845893335203e-16	9.15921253346419e-16	0.104367594211221	0.243524386492849	0.380990671569076	0.444489116830589	0.0424409244368778	0.148543235529072	0.356700714305713	0.444489116830589	0.228112309568341	0.399196541744596	0.871340106414334	0.871340106414334
TIE2	0.00584162628177883	0.0408913839724518	0.988516254053753	0.988516254053753	0.181140661626646	0.395869637994693	0.202172474167767	0.395869637994693	0.226211221711253	0.395869637994693	0.407989663796619	0.571185529315267	0.865658708391551	0.988516254053753
CD40L	0.334191271273118	0.779779632970609	0.634478297850591	0.989075553938738	0.216033289749693	0.756116514123925	0.989075553938738	0.989075553938738	0.789864656320635	0.989075553938738	0.0775099624232282	0.542569736962597	0.938546854785104	0.989075553938738
CD244	0.429524608991119	0.601334452587567	0.53901758906174	0.628853853905363	0.0902275365556321	0.315796377944712	0.391548130330469	0.601334452587567	0.0621868080284266	0.315796377944712	0.848300895542792	0.848300895542792	0.213109718030289	0.497256008737341
EGF	0.0289773481142788	0.202841436799952	0.485446878732795	0.752951282082084	0.140711454945512	0.36815853992732	0.927676097035673	0.927676097035673	0.850987157136891	0.927676097035673	0.157782231397423	0.36815853992732	0.537822344344346	0.752951282082084
ANG1	7.39005007344281e-08	5.17303505140997e-07	0.396815643311358	0.563257891932362	0.435058771214485	0.563257891932362	0.01299900430594	0.0454965150707901	0.937516655834978	0.937516655834978	0.0737512124805911	0.172086162454713	0.482792478799167	0.563257891932362
IL7	0.0267763296291881	0.144763998423517	0.121703521652313	0.207539046050194	0.041361142406719	0.144763998423517	0.981602749395643	0.981602749395643	0.188437646070914	0.219843920416066	0.0789354111678533	0.184182626058324	0.148242175750139	0.207539046050194
PGF	4.14071265556565e-18	2.89849885889595e-17	0.419383614056055	0.715329940438382	0.766638334952603	0.766638334952603	0.29822568365878	0.695859928537154	0.591443669066371	0.715329940438382	0.613139948947185	0.715329940438382	0.107559039495402	0.376456638233906
IL6	0.180208690067864	0.420486943491682	0.288539120727707	0.43503674178411	0.00950837534868576	0.0665586274408003	0.780068059968686	0.780068059968686	0.310740529845793	0.43503674178411	0.503819431870987	0.587789337182818	0.0618705528418938	0.216546934946628
MCP1	0.819272714721047	0.853152223350368	0.469439202990878	0.821518605234036	0.171088694155026	0.399206953028394	0.853152223350368	0.853152223350368	0.793347950847467	0.853152223350368	0.095761622452391	0.335165678583369	0.0711971680103006	0.335165678583369
CRTAM	4.79402388847468e-08	3.35581672193228e-07	0.637022421752432	0.637022421752432	0.0125454142252743	0.04390894978846	0.0368613155710458	0.0860097363324402	0.582378570855195	0.637022421752432	0.104223035062676	0.145912249087747	0.0604700405771412	0.105822571009997
MCP4	0.0298877305333442	0.104607056866705	0.318524233989202	0.445933927584882	0.0166304333071274	0.104607056866705	0.66003758629216	0.770043850674187	0.857196704404014	0.857196704404014	0.132172186346569	0.308401768141993	0.195723041779863	0.34251532311476
TRAIL	0.0503979905501508	0.352785933851056	0.820058749593618	0.842655265215094	0.511438306243407	0.842655265215094	0.593521976286944	0.842655265215094	0.209277518764896	0.732471315677138	0.842655265215094	0.842655265215094	0.634591445990306	0.842655265215094
