Analyte	Fstat	Fstat.pval	Fstat.pval.adj	Age.est	Age.se	Age.pval	Age.pval.adj	BMI.est	BMI.se	BMI.pval	BMI.pval.adj	Education.est	Education.se	Education.pval	Education.pval.adj	Aspirin.est	Aspirin.se	Aspirin.pval	Aspirin.pval.adj	Smoking.est	Smoking.se	Smoking.pval	Smoking.pval.adj	Diabetes.est	Diabetes.se	Diabetes.pval	Diabetes.pval.adj	PSA.est	PSA.se	PSA.pval	PSA.pval.adj
IL8	1.28517314990677	0.255897469708342	0.287446472823069	-0.0271040274640049	0.0172430025835219	0.116710867825997	0.427038102163354	-0.00297747772693617	0.0301816542690094	0.921460519992709	0.921460519992709	-0.148568612759013	0.127353086813685	0.244021772664774	0.427038102163354	-0.348386029256268	0.284825803013084	0.221939604183209	0.427038102163354	-0.13445736119258	0.218122360488764	0.537935612343707	0.732766328028613	-0.18355375200475	0.378640512119831	0.628085424024525	0.732766328028613	0.18682070181452	0.137675997610519	0.175504423078921	0.427038102163354
TNFRSF9	12.8835858818648	4.55191440096314e-15	3.73256980878978e-14	0.0251358302214975	0.00291677563997373	1.30845893335203e-16	9.15921253346419e-16	0.00830896245437518	0.00510543993249086	0.104367594211221	0.243524386492849	-0.0188923106482733	0.0215426738756391	0.380990671569076	0.444489116830589	-0.0980570896549548	0.0481802957368017	0.0424409244368778	0.148543235529072	0.0340433220953797	0.0368969374403033	0.356700714305713	0.444489116830589	0.077304985389917	0.0640497162085749	0.228112309568341	0.399196541744596	-0.00377402941801458	0.0232888671270745	0.871340106414334	0.871340106414334
TIE2	2.21537096844294	0.0320738694788034	0.0482468839692831	-0.0045106215739097	0.0016281753908082	0.00584162628177883	0.0408913839724518	4.10432559030779e-05	0.00284991123191291	0.988516254053753	0.988516254053753	0.0161069658424008	0.0120253512048799	0.181140661626646	0.395869637994693	-0.0343535511137797	0.026894756924543	0.202172474167767	0.395869637994693	0.0249607973562971	0.0205962655177114	0.226211221711253	0.395869637994693	0.029612471194033	0.0357532373384708	0.407989663796619	0.571185529315267	-0.00220060840887701	0.0130000949735189	0.865658708391551	0.988516254053753
CD40L	0.852337643967476	0.544460959588164	0.558072483577868	-0.00525750665558578	0.00543810703707346	0.334191271273118	0.779779632970609	0.00452872795644705	0.00951870567065093	0.634478297850591	0.989075553938738	-0.0497625768053742	0.0401646821219156	0.216033289749693	0.756116514123925	-0.00123066281863207	0.0898285084748382	0.989075553938738	0.989075553938738	-0.0183434011386973	0.0687915424109822	0.789864656320635	0.989075553938738	-0.211311737595036	0.119415839759121	0.0775099624232282	0.542569736962597	-0.003349504871217	0.0434203270465991	0.938546854785104	0.989075553938738
CD244	1.54989748339611	0.148651107849097	0.190459231931655	-0.00184505475435492	0.0023332962989	0.429524608991119	0.601334452587567	0.00251088663589939	0.00408413452700273	0.53901758906174	0.628853853905363	-0.029262194088657	0.0172332216895816	0.0902275365556321	0.315796377944712	-0.0330567024039339	0.0385421847953994	0.391548130330469	0.601334452587567	-0.0551895129372581	0.0295159786684792	0.0621868080284266	0.315796377944712	0.00980686589128797	0.0512370453616409	0.848300895542792	0.848300895542792	-0.0232299568062042	0.0186301019277802	0.213109718030289	0.497256008737341
EGF	1.52687609677644	0.156134263398196	0.196969378440801	-0.0135538215733634	0.00618577973757298	0.0289773481142788	0.202841436799952	0.00755938192119892	0.0108274103955704	0.485446878732795	0.752951282082084	-0.0674274008599662	0.0456868309398907	0.140711454945512	0.36815853992732	-0.00928010100723549	0.102178821378824	0.927676097035673	0.927676097035673	-0.0147087118961861	0.0782495317325064	0.850987157136891	0.927676097035673	-0.192209044682424	0.13583404609203	0.157782231397423	0.36815853992732	0.0304540622442191	0.0493900869204272	0.537822344344346	0.752951282082084
ANG1	5.27791953453348	8.43596633059995e-06	2.38534220382481e-05	-0.0101981870539712	0.00186221987005376	7.39005007344281e-08	5.17303505140997e-07	-0.00276466541154947	0.00325957593630206	0.396815643311358	0.563257891932362	-0.0107458755900199	0.0137539530965311	0.435058771214485	0.563257891932362	0.076722507182418	0.0307607835297701	0.01299900430594	0.0454965150707901	0.00184773863595869	0.0235569061616553	0.937516655834978	0.937516655834978	-0.07330079103314	0.0408926393104362	0.0737512124805911	0.172086162454713	0.0104442464301008	0.0148688128496131	0.482792478799167	0.563257891932362
IL7	4.05929254794746	0.000251675083050795	0.000543088337109611	-0.00824601760654457	0.0037104538432613	0.0267763296291881	0.144763998423517	-0.0100713959058401	0.0064946713622516	0.121703521652313	0.207539046050194	0.0560702735954206	0.0274046093845977	0.041361142406719	0.144763998423517	-0.00141415451957322	0.0612905432409921	0.981602749395643	0.981602749395643	-0.0618300108569855	0.0469368920439757	0.188437646070914	0.219843920416066	-0.143488849587667	0.0814781611615637	0.0789354111678533	0.184182626058324	0.0429091869411103	0.0296259559194734	0.148242175750139	0.207539046050194
PGF	15.0778530720784	0	0	0.0182316057250092	0.0020093667255324	4.14071265556565e-18	2.89849885889595e-17	0.00284278117526965	0.00351713754700856	0.419383614056055	0.715329940438382	-0.00440714299701917	0.0148407479380537	0.766638334952603	0.766638334952603	-0.0345689726072672	0.0331914055208963	0.29822568365878	0.695859928537154	0.0136533487645776	0.0254183000401305	0.591443669066371	0.715329940438382	0.0223251204278744	0.0441238492140118	0.613139948947185	0.715329940438382	0.0258723918798139	0.0160437004612773	0.107559039495402	0.376456638233906
IL6	2.9127460021669	0.00549128009906186	0.010721070669597	0.0101207732221747	0.00753993219135577	0.180208690067864	0.420486943491682	0.014024416012058	0.0131976797839575	0.288539120727707	0.43503674178411	-0.145061469395266	0.0556883080127045	0.00950837534868576	0.0665586274408003	-0.0347991035695167	0.124547173884867	0.780068059968686	0.780068059968686	0.0967970517950096	0.095379432876465	0.310740529845793	0.43503674178411	-0.110775214995741	0.165569991215569	0.503819431870987	0.587789337182818	0.112704289625479	0.060202257775719	0.0618705528418938	0.216546934946628
