	Age			BMI			Education			Aspirin			Smoking			Diabetes			PSA		
Analyte	Af-AA	Af-EA	AA-EA	Af-AA	Af-EA	AA-EA	Af-AA	Af-EA	AA-EA	Af-AA	Af-EA	AA-EA	Af-AA	Af-EA	AA-EA	Af-AA	Af-EA	AA-EA	Af-AA	Af-EA	AA-EA
TNFRSF9	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
TIE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD244	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANG1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
IL7	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
PGF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
IL6	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
CRTAM	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCP4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCL9	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0
CAIX	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
ADA	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gal9	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
VEGFR2	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
CD40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL18	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GZMH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFSF14	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TWEAK	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
PDGFsubunitB	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
PDCD1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MCP2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CCL4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gal1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD27	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HGF	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GZMA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HO1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CX3CL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
